CD Rank,College Name,Location,Approvals,NAAC Grade,CD Score,Course,Course Fees,Avg Package,Highest Package,User Rating,Reviews,Best In,National Ranking,Scraped At
#782,"Kommuri Pratap Reddy Institute of Technology - [KPRIT], Hyderabad","Hyderabad, Telangana","AICTE, UGC, NBA Approved",A,N/A,B.Tech Computer Science and Engineering (Artificial Intelligence & Machine Learning),"₹ 4,72,000","₹ 54,00,000",N/A,3.6 / 5,Based on 82 User Reviews,Best in Faculty,#168th/286 in India for Engineering 2025,2026-06-07 23:26:19
#783,"Mahatma Gandhi Institute of Technical Education and Research Center - [MGITER], Navsari","Navsari, Gujarat",AICTE Approved,N/A,N/A,BE Electronics & Communication Engineering,"₹ 61,000",N/A,N/A,3 / 5,Based on 20 User Reviews,N/A,N/A,2026-06-07 23:26:22
#784,"C Byregowda Institute of Technology, Kolar","Kolar, Karnataka",AICTE Approved,B++,N/A,BE Computer Science And Engineering,"₹ 7,44,444",N/A,N/A,3.8 / 5,Based on 4 User Reviews,Best in Infrastructure,N/A,2026-06-07 23:26:27
#785,"Garden City University - [GCU], Bangalore","Bangalore, Karnataka","AICTE, UGC Approved",A,N/A,B.Tech Computer Science and Engineering,"₹ 14,71,000",N/A,N/A,3.9 / 5,Based on 102 User Reviews,Best in Social Life,N/A,2026-06-07 23:26:31
#786,"Baba Saheb Dr Bhim Rao Ambedkar College of Agricultural Engineering and Technology, Etawah","Etawah, Uttar Pradesh",AICTE Approved,N/A,N/A,B.Tech Computer Science and Engineering,"₹ 2,44,800",N/A,N/A,3.3 / 5,Based on 36 User Reviews,N/A,N/A,2026-06-07 23:26:34
#787,"Raghu Engineering College - [REC], Visakhapatnam","Visakhapatnam, Andhra Pradesh","AICTE, UGC, NBA Approved",A+,572/1000,B.Tech Computer Science and Engineering,"₹ 3,23,200","₹ 45,50,000",N/A,4 / 5,Based on 325 User Reviews,Best in Placements,#382th/500 in India for Engineering 2026,2026-06-07 23:26:39
#788,"Mahatma Gandhi Mission's College of Engineering and Technology - [MGMCET], Navi Mumbai","Navi Mumbai, Maharashtra","AICTE, NBA Approved",B+,N/A,BE Mechanical Engineering,"₹ 3,49,286",N/A,N/A,3.2 / 5,Based on 85 User Reviews,N/A,#156th/160 in India for Engineering 2025,2026-06-07 23:26:43
#789,"Satpuda College Of Engineering, Balaghat","Balaghat, Madhya Pradesh",AICTE Approved,N/A,N/A,B.Tech Computer Science and Engineering,"₹ 1,56,000",N/A,N/A,3.5 / 5,Based on 1 User Reviews,N/A,N/A,2026-06-07 23:26:46
#790,"Kamala Institute of Technology & Science- [KITS], Karimnagar","Karimnagar, Telangana","AICTE, NBA Approved",A++,N/A,B.Tech Computer Science and Engineering,"₹ 3,60,000",N/A,N/A,3.8 / 5,Based on 130 User Reviews,Best in Infrastructure,N/A,2026-06-07 23:26:50
#791,"Veerappa Nisty Engineering College, Hassan","Hassan, Karnataka",AICTE Approved,N/A,N/A,BE Civil Engineering,"₹ 3,00,000","₹ 4,00,000",N/A,2.9 / 5,Based on 2 User Reviews,N/A,N/A,2026-06-07 23:26:54
#792,"Saraswati College of Engineering - [SCOE], Navi Mumbai","Navi Mumbai, Maharashtra","DCI, AICTE, BCI Approved",A+,528/1000,BE Artificial Intelligence & Machine Learning,"₹ 3,90,000","₹ 4,00,000","₹ 12,00,000",3.9 / 5,Based on 94 User Reviews,Best in Social Life,#455th/500 in India for Engineering 2026,2026-06-07 23:26:59
