CD Rank,College Name,Location,Approvals,NAAC Grade,CD Score,Course,Course Fees,Avg Package,Highest Package,User Rating,Reviews,Best In,National Ranking,Scraped At
#1291,"United Institute of Technology - [UIT], Allahabad","Allahabad, Uttar Pradesh",AICTE Approved,N/A,N/A,B.Tech Computer Science and Engineering,"₹ 6,32,100","₹ 57,60,000",N/A,4.2 / 5,Based on 90 User Reviews,Best in Infrastructure,N/A,2026-06-07 14:03:54
#1292,"Adsul Technical Campus Faculty of Engineering & MBA, Ahmednagar","Ahmednagar, Maharashtra",AICTE Approved,B++,N/A,BE Computer Engineering,"₹ 4,06,000","₹ 7,50,000",N/A,3 / 5,Based on 2 User Reviews,N/A,N/A,2026-06-07 14:03:57
#1293,"KCE Society's College of Engineering and Management, Jalgaon","Jalgaon, Maharashtra",AICTE Approved,B++,N/A,B.Tech Computer Engineering,"₹ 2,64,000","₹ 4,90,000","₹ 10,00,000",3.4 / 5,Based on 7 User Reviews,Best in Academics,N/A,2026-06-07 14:04:00
#1294,"Shri Ram Group of Colleges - [SRGC], Muzaffarnagar","Muzaffarnagar, Uttar Pradesh","NCTE, AICTE, COA, PCI, BCI Approved",A++,N/A,B.Tech Computer Science and Engineering,"₹ 3,14,000",N/A,N/A,3.8 / 5,Based on 57 User Reviews,Best in Faculty,N/A,2026-06-07 14:04:02
#1295,"Brahmdevdada Mane Institute of Technology - [BMIT], Solapur","Solapur, Maharashtra",AICTE Approved,B+,N/A,BE Computer Science And Engineering,"₹ 4,00,000","₹ 11,00,000",N/A,3.7 / 5,Based on 7 User Reviews,Best in Academics,N/A,2026-06-07 14:04:05
#1296,"Arvind Gavali College of Engineering - [AGCE], Satara","Satara, Maharashtra",AICTE Approved,B+,N/A,B.Tech Computer Science and Engineering,"₹ 3,60,000","₹ 13,00,000",N/A,3.7 / 5,Based on 10 User Reviews,Best in Social Life,N/A,2026-06-07 14:04:08
#1297,"Sanjay Bhokare Group of Institutes - [SBGI], Sangli","Sangli, Maharashtra",AICTE Approved,A,N/A,BE Computer Engineering,"₹ 3,74,000","₹ 4,00,000",N/A,3.3 / 5,Based on 5 User Reviews,N/A,N/A,2026-06-07 14:04:10
#1298,"Shree Santkrupa Institute of Engineering and Technology, Karad","Karad, Maharashtra",AICTE Approved,N/A,N/A,B.Tech Mechanical Engineering,"₹ 2,80,106",N/A,N/A,4 / 5,Based on 2 User Reviews,Best in Placements,N/A,2026-06-07 14:04:13
#1299,"Prayag Institute of Technology & Management, Allahabad","Allahabad, Uttar Pradesh",AICTE Approved,N/A,N/A,B.Tech Computer Science and Engineering,"₹ 2,44,800",N/A,N/A,1.9 / 5,Based on 2 User Reviews,N/A,N/A,2026-06-07 14:04:15
#1300,"Abhinav Education Society's College of Engineering and Technology, Wadwani","Wadwani, Maharashtra",AICTE Approved,N/A,N/A,BE Computer Science And Engineering,"₹ 2,52,000",N/A,N/A,2.8 / 5,Based on 4 User Reviews,Best in Placements,N/A,2026-06-07 14:04:18
