CD Rank,College Name,Location,Approvals,NAAC Grade,CD Score,Course,Course Fees,Avg Package,Highest Package,User Rating,Reviews,Best In,National Ranking,Scraped At
#1141,"S.R Group of Institutions, Lucknow","Lucknow, Uttar Pradesh",AICTE Approved,N/A,N/A,B.Tech Computer Science and Engineering,"₹ 6,58,572","₹ 4,00,000","₹ 42,00,000",3.7 / 5,Based on 85 User Reviews,Best in Academics,N/A,2026-06-07 13:55:26
#1142,"H.V.P.Mandal's College of Engineering & Technology, Amravati","Amravati, Maharashtra",AICTE Approved,A,N/A,BE Computer Science And Engineering,"₹ 3,72,000","₹ 10,00,000",N/A,3.7 / 5,Based on 11 User Reviews,Best in Faculty,N/A,2026-06-07 13:55:31
#1143,"Sagar Institute of Research & Technology Excellence -[SIRTE], Bhopal","Bhopal, Madhya Pradesh",AICTE Approved,B,N/A,B.Tech Computer Science and Engineering,"₹ 3,16,000","₹ 8,00,000",N/A,4.5 / 5,Based on 51 User Reviews,Best in Faculty,#237th/269 in India for Engineering 2025,2026-06-07 13:55:36
#1144,"SVR Engineering College, Kurnool","Kurnool, Andhra Pradesh",AICTE Approved,N/A,N/A,B.Tech Electronics & Communication Engineering,"₹ 1,60,000","₹ 19,40,000",N/A,3.6 / 5,Based on 12 User Reviews,Best in Infrastructure,N/A,2026-06-07 13:55:41
#1145,"SSBT's College of Engineering and Technology, Jalgaon","Jalgaon, Maharashtra","AICTE, NBA Approved",B++,N/A,BE Computer Engineering,"₹ 3,12,000",N/A,N/A,3.7 / 5,Based on 56 User Reviews,Best in Infrastructure,#239th/246 in India for Engineering 2023,2026-06-07 13:55:45
#1146,"DBS Institute of Technology -[DBSIT], Nellore","Nellore, Andhra Pradesh",AICTE Approved,N/A,N/A,B.Tech Electronics & Communication Engineering,"₹ 1,60,000",N/A,N/A,3.4 / 5,Based on 3 User Reviews,Best in Faculty,N/A,2026-06-07 13:55:50
#1147,"Ashoka Institute of Technology and Management - [AITM], Varanasi","Varanasi, Uttar Pradesh","AICTE, PCI Approved",N/A,N/A,B.Tech Computer Science and Engineering,"₹ 4,16,262","₹ 3,20,000","₹ 7,62,000",3.7 / 5,Based on 68 User Reviews,Best in Infrastructure,#143th/200 in India for Engineering 2022,2026-06-07 13:55:55
#1148,"International Center of Excellence in Engineering & Management - [ICEEM], Aurangabad","Aurangabad, Maharashtra",AICTE Approved,B,N/A,BE Computer Science And Engineering,"₹ 58,000","₹ 2,90,000","₹ 10,00,000",3.5 / 5,Based on 2 User Reviews,N/A,N/A,2026-06-07 13:56:00
#1149,"Vindhya Institute of Technology and Science - [VITS], Satna","Satna, Madhya Pradesh",AICTE Approved,N/A,N/A,B.Tech Computer Science and Engineering,"₹ 2,45,000",N/A,N/A,4 / 5,Based on 31 User Reviews,Best in Infrastructure,N/A,2026-06-07 13:56:04
#1150,"QUBA College of Engineering & Technology - [QCET], Venkatachalam","Venkatachalam, Andhra Pradesh",AICTE Approved,N/A,N/A,B.Tech Computer Science and Engineering,"₹ 1,60,000",N/A,N/A,3.5 / 5,Based on 10 User Reviews,Best in Infrastructure,N/A,2026-06-07 13:56:08
