CD Rank,College Name,Location,Approvals,NAAC Grade,CD Score,Course,Course Fees,Avg Package,Highest Package,User Rating,Reviews,Best In,National Ranking,Scraped At
#941,"AM Reddy Memorial College of Engineering and Technology, Guntur","Guntur, Andhra Pradesh",AICTE Approved,N/A,N/A,B.Tech Electrical And Electronics Engineering,"₹ 1,60,000",N/A,N/A,3.4 / 5,Based on 6 User Reviews,Best in Academics,N/A,2026-06-07 13:27:36
#942,"JD College of Engineering and Management, Nagpur","Nagpur, Maharashtra",AICTE Approved,A,N/A,B.Tech Computer Science and Engineering,"₹ 4,62,000","₹ 3,50,000","₹ 28,00,000",3.9 / 5,Based on 41 User Reviews,Best in Infrastructure,#264th/286 in India for Engineering 2025,2026-06-07 13:27:41
#943,"Kanpur Institute of Technology - [KIT], Kanpur","Kanpur, Uttar Pradesh","AICTE, PCI, NBA Approved",A,N/A,B.Tech Computer Science and Engineering,"₹ 5,20,000","₹ 5,00,000","₹ 49,00,000",3.7 / 5,Based on 95 User Reviews,Best in Academics,#215th/269 in India for Engineering 2025,2026-06-07 13:27:47
#944,"Universal College of Engineering and Technology - [UCET], Guntur","Guntur, Andhra Pradesh",AICTE Approved,B++,N/A,B.Tech Electronics & Communication Engineering,"₹ 1,60,000","₹ 2,40,000","₹ 3,60,000",3.3 / 5,Based on 18 User Reviews,N/A,N/A,2026-06-07 13:27:51
#945,"Swami Vivekanand College of Engineering - [SVCE], Indore","Indore, Madhya Pradesh",N/A,B++,N/A,BE Computer Science And Engineering,"₹ 2,28,000","₹ 10,00,000",N/A,3.3 / 5,Based on 44 User Reviews,N/A,N/A,2026-06-07 13:27:56
#946,"CVR College of Engineering, Ibrahimpatnam, Rangareddy","Rangareddy, Telangana",AICTE Approved,A,735/1000,B.Tech Computer Science and Engineering,"₹ 7,92,000","₹ 8,00,000","₹ 72,00,000",4.1 / 5,Based on 337 User Reviews,Best in Placements,#153th/500 in India for Engineering 2026,2026-06-07 13:28:01
#947,"BZ Global Education Campus, Himmatnagar","Himmatnagar, Gujarat",AICTE Approved,N/A,N/A,BE Civil Engineering,"₹ 1,98,000",N/A,N/A,3.9 / 5,Based on 9 User Reviews,Best in Social Life,N/A,2026-06-07 13:28:05
#948,"Sanjay Ghodawat University - [SGU], Kolhapur","Kolhapur, Maharashtra","AICTE, COA, PCI, UGC Approved",N/A,N/A,B.Tech Aeronautical Engineering,"₹ 6,00,000","₹ 3,20,000","₹ 36,00,000",4 / 5,Based on 65 User Reviews,Best in Infrastructure,N/A,2026-06-07 13:28:10
#949,"Vikas Group of Institutions, Vijayawada","Vijayawada, Andhra Pradesh","AICTE, PCI Approved",B++,N/A,B.Tech Electronics & Communication Engineering,"₹ 2,36,000",N/A,N/A,3.6 / 5,Based on 21 User Reviews,Best in Faculty,N/A,2026-06-07 13:28:14
#950,"Marri Laxman Reddy Institute of Technology & Management - [MLRITM], Hyderabad","Hyderabad, Telangana","AICTE, UGC, NBA Approved",A,N/A,B.Tech Computer Science and Engineering,"₹ 4,00,000","₹ 12,00,000",N/A,3.8 / 5,Based on 289 User Reviews,Best in Faculty,#208th/286 in India for Engineering 2025,2026-06-07 13:28:20
