CD Rank,College Name,Location,Approvals,NAAC Grade,CD Score,Course,Course Fees,Avg Package,Highest Package,User Rating,Reviews,Best In,National Ranking,Scraped At
#931,"Lakshmi Narain College of Technology & Science - [LNCTS], Indore","Indore, Madhya Pradesh",N/A,B,N/A,BE Computer Science And Engineering,"₹ 2,32,000",N/A,N/A,3.3 / 5,Based on 35 User Reviews,Best in Social Life,N/A,2026-06-07 13:19:01
#932,"BH Gardi College of Engineering and Technology, Rajkot","Rajkot, Gujarat",N/A,N/A,N/A,BE Computer Engineering,"₹ 2,75,625","₹ 6,00,000",N/A,3.7 / 5,Based on 24 User Reviews,Best in Social Life,N/A,2026-06-07 13:19:05
#933,"Sri Sunflower College of Engineering and Technology, Krishna","Krishna, Andhra Pradesh",AICTE Approved,B,N/A,B.Tech Civil Engineering,"₹ 1,72,000",N/A,N/A,3.2 / 5,Based on 3 User Reviews,Best in Placements,N/A,2026-06-07 13:19:10
#934,"Bharati Vidyapeeth College of Engineering For Women, Pune","Pune, Maharashtra","AICTE, NBA Approved",A,682/1000,B.Tech Computer Engineering,"₹ 5,68,000","₹ 10,50,000",N/A,4 / 5,Based on 14 User Reviews,Best in Academics,#214th/500 in India for Engineering 2026,2026-06-07 13:19:16
#935,"Balaji Institute of Technology and Science - [BITS], Warangal","Warangal, Telangana","AICTE, NBA Approved",A+,N/A,B.Tech Computer Science and Engineering,"₹ 2,78,000","₹ 7,00,000",N/A,4 / 5,Based on 209 User Reviews,Best in Social Life,N/A,2026-06-07 13:19:21
#936,"Avanthi Institute of Engineering & Technology - [AIET], Vizianagaram","Vizianagaram, Andhra Pradesh","AICTE, NBA Approved",A+,N/A,B.Tech Electronics & Communication Engineering,"₹ 1,60,000","₹ 14,00,000",N/A,3.7 / 5,Based on 14 User Reviews,Best in Faculty,N/A,2026-06-07 13:19:26
#937,"Sanjaybhai Rajguru Education Zone - [SREZ], Rajkot","Rajkot, Gujarat",AICTE Approved,N/A,N/A,BE Mechanical Engineering,"₹ 79,000",N/A,N/A,3.7 / 5,Based on 12 User Reviews,Best in Faculty,N/A,2026-06-07 13:19:31
#938,"JP Institute of Engineering and Technology - [JPIET], Meerut","Meerut, Uttar Pradesh",AICTE Approved,N/A,N/A,B.Tech Computer Science and Engineering,"₹ 2,44,800",N/A,N/A,3.3 / 5,N/A,Best in Infrastructure,N/A,2026-06-07 13:27:20
#939,"SNJB's College of Engineering Chandwad, Nashik","Nashik, Maharashtra",AICTE Approved,A+,518/1000,BE Computer Engineering,"₹ 4,71,124",N/A,N/A,4.1 / 5,Based on 44 User Reviews,Best in Infrastructure,#480th/500 in India for Engineering 2026,2026-06-07 13:27:26
#940,"Sagar Institute of Science, Technology and Research - [SISTec-R], Bhopal","Bhopal, Madhya Pradesh",AICTE Approved,N/A,N/A,B.Tech Civil Engineering,"₹ 2,20,000","₹ 4,80,000","₹ 21,00,000",4 / 5,Based on 27 User Reviews,Best in Academics,#253th/269 in India for Engineering 2025,2026-06-07 13:27:31
