CD Rank,College Name,Location,Approvals,NAAC Grade,CD Score,Course,Course Fees,Avg Package,Highest Package,User Rating,Reviews,Best In,National Ranking,Scraped At
#791,"Veerappa Nisty Engineering College, Hassan","Hassan, Karnataka",AICTE Approved,N/A,N/A,BE Civil Engineering,"₹ 3,00,000","₹ 4,00,000",N/A,2.9 / 5,Based on 2 User Reviews,N/A,N/A,2026-06-07 13:06:17
#792,"Saraswati College of Engineering - [SCOE], Navi Mumbai","Navi Mumbai, Maharashtra","DCI, AICTE, BCI Approved",A+,528/1000,BE Artificial Intelligence & Machine Learning,"₹ 3,90,000","₹ 4,00,000","₹ 12,00,000",3.9 / 5,Based on 94 User Reviews,Best in Social Life,#455th/500 in India for Engineering 2026,2026-06-07 13:06:22
#793,"Sha-Shib College of Engineering - [SSCE], Chikkaballapur","Chikkaballapur, Karnataka",AICTE Approved,N/A,N/A,BE Aeronautical Engineering,"₹ 4,49,640",N/A,N/A,3.4 / 5,Based on 36 User Reviews,Best in Academics,N/A,2026-06-07 13:06:26
#794,"Bhimavaram Institute of Engineering & Technology - [BIET], Palakoderu","Palakoderu, Andhra Pradesh",AICTE Approved,A,N/A,B.Tech Artificial Intelligence & Machine Learning,"₹ 1,60,000","₹ 6,00,000",N/A,3.8 / 5,Based on 10 User Reviews,N/A,N/A,2026-06-07 13:06:31
#795,"Sampoorna Institute of Technology and Research - [SITAR], Bangalore","Bangalore, Karnataka",AICTE Approved,N/A,N/A,BE Computer Science And Engineering,"₹ 4,49,640",N/A,N/A,3.5 / 5,Based on 6 User Reviews,Best in Academics,N/A,2026-06-07 13:06:35
#796,"Vijay Rural Engineering College - [VREC], Nizamabad","Nizamabad, Telangana","AICTE, UGC Approved",A,N/A,B.Tech Computer Science and Engineering,"₹ 1,95,400","₹ 4,30,000","₹ 8,80,000",3.4 / 5,Based on 23 User Reviews,Best in Academics,N/A,2026-06-07 13:06:40
#797,"Universal College of Engineering and Research - [UCOER] Sasewadi, Pune","Pune, Maharashtra",AICTE Approved,N/A,N/A,BE Mechanical Engineering,"₹ 3,40,000",N/A,N/A,2.1 / 5,Based on 5 User Reviews,N/A,N/A,2026-06-07 13:06:44
#798,"IES College of Technology - [ICOT], Bhopal","Bhopal, Madhya Pradesh",AICTE Approved,B,N/A,BE Computer Science And Engineering,"₹ 4,03,350","₹ 21,00,000",N/A,4 / 5,Based on 111 User Reviews,Best in Infrastructure,#113th/269 in India for Engineering 2025,2026-06-07 13:06:49
#799,"VIT University - [VIT- AP], Guntur","Guntur, Andhra Pradesh","AICTE, UGC Approved",A++,660/1000,B.Tech Computer Science and Engineering,"₹ 7,83,000","₹ 96,26,000",N/A,4 / 5,Based on 586 User Reviews,Best in Placements,#237th/500 in India for Engineering 2026,2026-06-07 13:06:54
#800,"Yadavrao Tasgaonkar College of Engineering & Management - [YTCEM], Karjat","Karjat, Maharashtra",AICTE Approved,B,N/A,BE Computer Engineering,"₹ 2,12,000",N/A,N/A,1.8 / 5,Based on 8 User Reviews,Best in Academics,N/A,2026-06-07 13:06:58
