CD Rank,College Name,Location,Approvals,NAAC Grade,CD Score,Course,Course Fees,Avg Package,Highest Package,User Rating,Reviews,Best In,National Ranking,Scraped At
#562,"St Peter's Engineering College - [SPEC], Hyderabad","Hyderabad, Telangana","AICTE, UGC, NBA Approved",A,N/A,B.Tech Computer Science and Engineering,"₹ 3,84,000","₹ 4,00,000","₹ 24,00,000",3.8 / 5,Based on 140 User Reviews,Best in Infrastructure,#260th/269 in India for Engineering 2025,2026-06-07 23:08:34
#563,"Aditya college of engineering - [ACE], Madanapalle","Madanapalle, Andhra Pradesh",AICTE Approved,A+,N/A,B.Tech Computer Science and Engineering,"₹ 1,72,000","₹ 3,00,000","₹ 5,00,000",3.9 / 5,Based on 37 User Reviews,Best in Faculty,#170th/218 in India for Engineering 2021,2026-06-07 23:08:40
#564,"SAL College of Engineering - [SCE], Ahmedabad","Ahmedabad, Gujarat",AICTE Approved,N/A,N/A,BE Computer Engineering,"₹ 74,000","₹ 3,60,000",N/A,3.7 / 5,Based on 56 User Reviews,Best in Social Life,N/A,2026-06-07 23:08:44
#565,"Walchand Institute of Technology - [WIT], Solapur","Solapur, Maharashtra","AICTE, NBA Approved",A+,569/1000,B.Tech Computer Science and Engineering,"₹ 6,02,412","₹ 4,69,000","₹ 12,50,000",3.8 / 5,Based on 215 User Reviews,Best in Academics,#388th/500 in India for Engineering 2026,2026-06-07 23:08:49
#566,"Maharana Pratap College of Technology - [MPCT], Gwalior","Gwalior, Madhya Pradesh",N/A,A,N/A,BE Computer Science And Engineering,"₹ 1,92,000",N/A,N/A,3.3 / 5,Based on 15 User Reviews,Best in Academics,N/A,2026-06-07 23:08:53
#567,"Hirasugar Institute of Technology - [HIT], Belgaum","Belgaum, Karnataka","AICTE, UGC, NBA Approved",A+,N/A,BE Computer Science And Engineering,"₹ 4,49,640","₹ 3,44,000","₹ 4,32,000",3.7 / 5,Based on 11 User Reviews,Best in Infrastructure,N/A,2026-06-07 23:08:59
#568,"NBKR Institute of Science and Technology Vidyanagar - [NBKRIST], Tirupati","Tirupati, Andhra Pradesh","AICTE, NBA Approved",A,N/A,B.Tech Computer Science and Engineering,"₹ 4,82,500","₹ 3,05,000","₹ 7,08,000",3.9 / 5,Based on 100 User Reviews,Best in Infrastructure,N/A,2026-06-07 23:09:04
#569,"Vidya Prasarini Sabha's College of Engineering & Technology - [VPSCET] Lonavala, Pune","Pune, Maharashtra",AICTE Approved,N/A,N/A,BE Computer Science And Engineering,"₹ 2,20,000",N/A,N/A,3.6 / 5,Based on 2 User Reviews,Best in Academics,N/A,2026-06-07 23:09:08
#570,"Bangalore Technological Institute - [BTI], Bangalore","Bangalore, Karnataka",AICTE Approved,N/A,N/A,BE Computer Science And Engineering,"₹ 7,30,000","₹ 12,00,000",N/A,3.3 / 5,Based on 14 User Reviews,Best in Academics,N/A,2026-06-07 23:09:13
#571,"Vidhyadeep University, Surat","Surat, Gujarat","NCTE, AICTE, PCI, INC, BCI Approved",N/A,N/A,B.Tech Artificial Intelligence & Data Science,"₹ 4,40,000","₹ 3,43,000","₹ 20,00,000",4.2 / 5,Based on 15 User Reviews,N/A,N/A,2026-06-07 23:09:17
