CD Rank,College Name,Location,Approvals,NAAC Grade,CD Score,Course,Course Fees,Avg Package,Highest Package,User Rating,Reviews,Best In,National Ranking,Scraped At
#1501,"Asansol Engineering College - [AEC], Asansol","Asansol, West Bengal","AICTE, NBA Approved",A,N/A,B.Tech Computer Science and Engineering,"₹ 7,01,800","₹ 5,02,000","₹ 30,00,000",3.9 / 5,Based on 437 User Reviews,Best in Infrastructure,#188th/269 in India for Engineering 2025,2026-06-07 14:13:35
#1502,"Baba Banda Singh Bahadur Engineering College - [BBSBEC], Fatehgarh Sahib","Fatehgarh Sahib, Punjab",AICTE Approved,N/A,N/A,B.Tech Computer Science and Engineering,"₹ 4,02,000","₹ 4,00,000","₹ 7,00,000",4 / 5,Based on 48 User Reviews,Best in Infrastructure,N/A,2026-06-07 14:13:38
#1503,"Anangpuria School of Management & Technology, Faridabad","Faridabad, Haryana",AICTE Approved,N/A,N/A,B.Tech Civil Engineering,"₹ 3,34,000","₹ 5,50,000","₹ 8,00,000",3.7 / 5,Based on 65 User Reviews,Best in Academics,N/A,2026-06-07 14:13:41
#1504,"Rungta Engineering College - [REC], Bhilai","Bhilai, Chhattisgarh",AICTE Approved,B+,N/A,BE Civil Engineering,"₹ 3,06,400",N/A,N/A,3.6 / 5,Based on 18 User Reviews,Best in Infrastructure,#58th/130 in India for Engineering 2019,2026-06-07 14:13:44
#1505,"Techno International New Town - [TINT], Kolkata","Kolkata, West Bengal",AICTE Approved,B++,N/A,B.Tech Computer Science and Engineering,"₹ 7,65,000","₹ 6,50,000","₹ 32,00,000",3.7 / 5,Based on 302 User Reviews,Best in Academics,#171th/269 in India for Engineering 2025,2026-06-07 14:13:47
#1506,"Ramanand Institute of Pharmacy Management and Technology - [RIPMT], Roorkee","Roorkee, Uttarakhand","AICTE, PCI Approved",N/A,N/A,B.Tech Electrical And Electronics Engineering,"₹ 2,20,000",N/A,N/A,3.2 / 5,Based on 3 User Reviews,Best in Academics,N/A,2026-06-07 14:13:49
#1507,"MES College of Engineering - [MESCE] Kuttippuram, Malappuram","Malappuram, Kerala","AICTE, NBA Approved",A,N/A,B.Tech Computer Science and Engineering,"₹ 1,60,000","₹ 3,50,000","₹ 4,25,000",3.9 / 5,Based on 89 User Reviews,Best in Infrastructure,#120th/173 in India for Engineering 2024,2026-06-07 14:13:53
#1508,"Alice Institute of Technology [AIT], Ranchi","Ranchi, Jharkhand",AICTE Approved,N/A,N/A,B.Tech Electronics & Communication Engineering,--,N/A,N/A,N/A,N/A,N/A,N/A,2026-06-07 14:13:55
#1509,"Maharana Pratap Institute of Technology and Management, Mahendragarh","Mahendragarh, Haryana",AICTE Approved,N/A,N/A,B.Tech Computer Science and Engineering,"₹ 2,00,000",N/A,N/A,N/A,N/A,N/A,N/A,2026-06-07 14:13:57
#1510,"Dr. C.V. Raman University - [CVRU], Bilaspur","Bilaspur, Chhattisgarh","NCTE, AICTE, PCI, BCI, UGC Approved",A,N/A,BE Computer Science And Engineering,"₹ 2,62,800","₹ 4,30,000","₹ 10,50,000",3.5 / 5,Based on 41 User Reviews,Best in Infrastructure,#199th/269 in India for Engineering 2025,2026-06-07 14:14:00
