CD Rank,College Name,Location,Approvals,NAAC Grade,CD Score,Course,Course Fees,Avg Package,Highest Package,User Rating,Reviews,Best In,National Ranking,Scraped At
#1821,"Vidya Academy of Science and Technology Technical Campus, Thiruvananthapuram","Thiruvananthapuram, Kerala",AICTE Approved,N/A,N/A,B.Tech Computer Science and Engineering,"₹ 5,02,000",N/A,N/A,3 / 5,Based on 10 User Reviews,N/A,N/A,2026-06-07 14:28:19
#1822,"Geeta University, Panipat","Panipat, Haryana","PCI, BCI, UGC Approved",N/A,N/A,B.Tech Computer Science and Engineering,"₹ 8,50,500","₹ 6,00,000","₹ 40,00,000",4.5 / 5,Based on 219 User Reviews,Best in Academics,N/A,2026-06-07 14:28:22
#1823,"Biff and Bright College of Engineering and Technology - [BBCET], Jaipur","Jaipur, Rajasthan",AICTE Approved,N/A,N/A,B.Tech Mechanical Engineering,"₹ 3,15,000",N/A,N/A,3.6 / 5,Based on 2 User Reviews,N/A,N/A,2026-06-07 14:28:25
#1824,"XIM University, Bhubaneswar","Bhubaneswar, Odisha","AICTE, BCI, UGC, NBA Approved",A,N/A,B.Tech {Hons.} Computer Science Engineering,"₹ 10,49,000","₹ 18,25,000","₹ 32,80,000",4.1 / 5,Based on 155 User Reviews,Best in Infrastructure,N/A,2026-06-07 14:28:29
#1825,"Rayat Bahra Institute of Engineering and NanoTechnology- [RBIENTH], Hoshiarpur","Hoshiarpur, Punjab",AICTE Approved,N/A,N/A,B.Tech Information Technology,"₹ 3,66,000","₹ 2,40,000","₹ 10,00,000",3.5 / 5,Based on 12 User Reviews,Best in Academics,#282th/286 in India for Engineering 2025,2026-06-07 14:28:32
#1826,"Anand Institute of Higher Technology - [AIHT], Chennai","Chennai, Tamil Nadu","AICTE, NBA Approved",N/A,N/A,B.Tech Information Technology,"₹ 4,40,000","₹ 6,50,000",N/A,3.2 / 5,Based on 33 User Reviews,Best in Faculty,#68th/314 in India for Engineering 2024,2026-06-07 14:28:35
#1827,"Eranad Knowledge City Technical Campus Manjeri, Malappuram","Malappuram, Kerala",AICTE Approved,B+,N/A,B.Tech Civil Engineering,"₹ 1,60,000",N/A,N/A,3.3 / 5,Based on 24 User Reviews,Best in Academics,N/A,2026-06-07 14:28:38
#1828,"Manda Institute of Technology -[MIT], Bikaner","Bikaner, Rajasthan",AICTE Approved,N/A,N/A,B.Tech Computer Science and Engineering,"₹ 3,60,000",N/A,N/A,3.2 / 5,Based on 5 User Reviews,Best in Infrastructure,N/A,2026-06-07 14:28:40
#1829,"RMK Engineering College - [RMKEC], Thiruvallur","Thiruvallur, Tamil Nadu","AICTE, NBA Approved",A+,640/1000,BE Computer Science And Engineering,"₹ 7,73,000","₹ 5,07,000","₹ 25,00,000",4 / 5,Based on 206 User Reviews,Best in Accomodation,#264th/500 in India for Engineering 2026,2026-06-07 14:28:44
#1830,"UKF College of Engineering and Technology - [UKFCET], Kollam","Kollam, Kerala",AICTE Approved,N/A,N/A,B.Tech Electrical And Electronics Engineering,"₹ 5,02,000","₹ 1,63,728","₹ 3,50,000",3.8 / 5,Based on 13 User Reviews,N/A,N/A,2026-06-07 14:28:48
