CD Rank,College Name,Location,Approvals,NAAC Grade,CD Score,Course,Course Fees,Avg Package,Highest Package,User Rating,Reviews,Best In,National Ranking,Scraped At
#1182,"SSPM Someshwar Engineering College, Baramati","Baramati, Maharashtra",AICTE Approved,N/A,N/A,BE Civil Engineering,"₹ 2,64,000",N/A,N/A,3.3 / 5,Based on 3 User Reviews,Best in Academics,N/A,2026-06-07 23:51:11
#1183,"Vidarbha Institute of Technology, Nagpur","Nagpur, Maharashtra",AICTE Approved,B++,N/A,BE Electrical Engineering,"₹ 3,50,000","₹ 5,25,000",N/A,4.5 / 5,Based on 3 User Reviews,Best in Academics,N/A,2026-06-07 23:51:15
#1184,"Priyadarshini Institute of Technology and Management -[PIIT], Guntur","Guntur, Andhra Pradesh",AICTE Approved,B++,N/A,B.Tech Computer Science and Engineering,"₹ 1,60,000",N/A,N/A,N/A,N/A,N/A,N/A,2026-06-07 23:51:18
#1185,"Vivekanand Institute of Technology and Science - [VITS], Ghaziabad","Ghaziabad, Uttar Pradesh",AICTE Approved,N/A,N/A,B.Tech Civil Engineering,"₹ 2,44,800",N/A,N/A,3.4 / 5,Based on 13 User Reviews,N/A,N/A,2026-06-07 23:51:21
#1186,"Rajiv Gandhi College of Engineering & Polytechnic - [RGCOE], Ahmednagar","Ahmednagar, Maharashtra",AICTE Approved,B,N/A,BE Computer Engineering,"₹ 3,34,000",N/A,N/A,3 / 5,Based on 1 User Reviews,N/A,N/A,2026-06-07 23:51:24
#1187,"Gonna Institute of Information Technology and Sciences - [GIITS], Visakhapatnam","Visakhapatnam, Andhra Pradesh",AICTE Approved,A,N/A,B.Tech Electrical And Electronics Engineering,"₹ 1,85,200","₹ 7,00,000",N/A,4 / 5,Based on 18 User Reviews,Best in Academics,N/A,2026-06-07 23:51:28
#1188,"Guru Nanak Institute of Technology - [GNIT], Nagpur","Nagpur, Maharashtra",AICTE Approved,B+,N/A,BE Computer Science And Engineering,"₹ 2,40,000","₹ 4,20,000","₹ 6,00,000",3.7 / 5,Based on 9 User Reviews,Best in Infrastructure,N/A,2026-06-07 23:51:32
#1189,"Ramireddy Subbarami Reddy Engineering College - [RSREC], Nellore","Nellore, Andhra Pradesh","AICTE, UGC Approved",A,N/A,B.Tech Electronics & Communication Engineering,"₹ 1,80,400","₹ 3,50,000","₹ 5,00,000",3.7 / 5,Based on 25 User Reviews,Best in Academics,N/A,2026-06-07 23:51:36
#1190,"AG Patil Institute of Technology - [AGPIT], Solapur","Solapur, Maharashtra",AICTE Approved,B+,N/A,BE Mechanical Engineering,"₹ 3,38,000","₹ 4,00,000","₹ 8,00,000",3.7 / 5,Based on 9 User Reviews,Best in Faculty,N/A,2026-06-07 23:51:40
#1191,"Vaagdevi Institute of Technology & Science - [VITS], Kadapa","Kadapa, Andhra Pradesh",AICTE Approved,N/A,N/A,B.Tech Computer Science and Business Systems,"₹ 1,60,000",N/A,N/A,3.8 / 5,Based on 16 User Reviews,Best in Academics,N/A,2026-06-07 23:51:44
#1192,"Bharat-Ratna Indira Gandhi College of Engineering - [BIGCE], Solapur","Solapur, Maharashtra",AICTE Approved,N/A,N/A,BE Computer Science And Engineering,"₹ 2,74,000",N/A,N/A,3.4 / 5,Based on 5 User Reviews,Best in Academics,N/A,2026-06-07 23:51:47
#1193,"Rajshree Institute of Management and Technology - [RIMT], Bareilly","Bareilly, Uttar Pradesh","NCTE, AICTE, UGC Approved",N/A,N/A,B.Tech Computer Science and Engineering,"₹ 2,84,800",N/A,N/A,3.8 / 5,Based on 12 User Reviews,Best in Academics,#228th/284 in India for Engineering 2024,2026-06-07 23:51:50
#1194,"Kakinada Institute of Engineering and Technology -[KIET], West Godavari","West Godavari, Andhra Pradesh",AICTE Approved,B++,N/A,B.Tech Artificial Intelligence & Machine Learning,"₹ 2,09,600","₹ 6,00,000","₹ 45,00,000",3.7 / 5,Based on 220 User Reviews,Best in Infrastructure,N/A,2026-06-07 23:51:55
#1195,"Konkan Gyanpeeth College of Engineering - [KGCE], Karjat","Karjat, Maharashtra",AICTE Approved,B+,N/A,BE Artificial Intelligence and Data Science,"₹ 4,18,000",N/A,N/A,3.5 / 5,Based on 43 User Reviews,Best in Social Life,N/A,2026-06-07 23:51:58
#1196,"Gouthami Institute of Technology and Management for Women - [GITAMW], Kadapa","Kadapa, Andhra Pradesh",AICTE Approved,N/A,N/A,B.Tech Computer Science and Engineering,"₹ 1,60,000",N/A,N/A,4 / 5,Based on 1 User Reviews,N/A,N/A,2026-06-07 23:52:01
#1197,"VM Institute of Engineering and Technology - [VMIT], Nagpur","Nagpur, Maharashtra",AICTE Approved,N/A,N/A,BE Information Technology,"₹ 4,26,000",N/A,N/A,3.4 / 5,Based on 1 User Reviews,N/A,N/A,2026-06-07 23:52:04
#1198,"Velaga Nageswara Rao College of Engineering - [VNRCE], Guntur","Guntur, Andhra Pradesh",AICTE Approved,N/A,N/A,B.Tech Civil Engineering,"₹ 1,60,000",N/A,N/A,3.3 / 5,Based on 1 User Reviews,Best in Academics,N/A,2026-06-07 23:52:07
#1199,"Wainganga College of Engineering and Management - [WCEM], Nagpur","Nagpur, Maharashtra",AICTE Approved,A,N/A,B.Tech Civil Engineering,"₹ 5,03,600","₹ 19,00,000",N/A,4.4 / 5,Based on 76 User Reviews,N/A,N/A,2026-06-07 23:52:11
#1200,"St. Johns College of Engineering and Technology Yemmiganur - [SJCET ], Kurnool","Kurnool, Andhra Pradesh","AICTE, UGC Approved",B++,N/A,B.Tech Computer Science and Engineering,"₹ 1,60,000","₹ 3,60,000",N/A,3.6 / 5,Based on 12 User Reviews,N/A,N/A,2026-06-07 23:52:14
#1201,"Prasad Institute of Technology - [PIT], Jaunpur","Jaunpur, Uttar Pradesh",AICTE Approved,N/A,N/A,B.Tech Computer Science and Engineering,"₹ 2,44,800","₹ 3,60,000","₹ 7,20,000",2.9 / 5,Based on 9 User Reviews,Best in Infrastructure,N/A,2026-06-07 23:52:18
