CD Rank,College Name,Location,Approvals,NAAC Grade,CD Score,Course,Course Fees,Avg Package,Highest Package,User Rating,Reviews,Best In,National Ranking,Scraped At
#321,"Saraswati Institute of Engineering and Technology - [SIET], Jabalpur","Jabalpur, Madhya Pradesh",AICTE Approved,N/A,N/A,B.Tech Computer Science and Engineering,--,N/A,N/A,N/A,N/A,N/A,N/A,2026-06-07 22:36:54
#322,"Vivekananda Institute of Professional Studies - [VIPS], New Delhi","New Delhi, Delhi NCR","AICTE, BCI Approved",A++,656/1000,B.Tech Computer Science and Engineering,"₹ 7,20,000","₹ 8,00,000",N/A,4.2 / 5,Based on 449 User Reviews,Best in Infrastructure,#241th/500 in India for Engineering 2026,2026-06-07 22:36:59
#323,"Dr. Akhilesh Das Gupta Institute of Professional Studies - [ADGIPS ], New Delhi","New Delhi, Delhi NCR","AICTE, BCI Approved",N/A,575/1000,B.Tech Computer Science and Engineering,"₹ 5,69,700","₹ 59,00,000",N/A,3.6 / 5,Based on 471 User Reviews,Best in Infrastructure,#379th/500 in India for Engineering 2026,2026-06-07 22:37:04
#324,"DBS Global University, Dehradun","Dehradun, Uttarakhand","PCI, UGC, AIU, AACSB Approved",N/A,N/A,B.Tech Computer Science and Engineering,"₹ 10,44,010","₹ 6,69,000","₹ 24,00,000",3.9 / 5,Based on 151 User Reviews,Best in Academics,N/A,2026-06-07 22:37:09
#325,"Ramgovind Institute of Technology, Kodarma","Kodarma, Jharkhand",AICTE Approved,N/A,N/A,B.Tech Mechanical Engineering,"₹ 1,36,000",N/A,N/A,2.7 / 5,Based on 4 User Reviews,Best in Academics,N/A,2026-06-07 22:37:13
#326,"Kaziranga University - [KU], Jorhat","Jorhat, Assam","AICTE, PCI, INC, UGC, AIU Approved",B++,N/A,B.Tech Civil Engineering,"₹ 4,75,000","₹ 3,46,000","₹ 12,00,000",3.8 / 5,Based on 95 User Reviews,Best in Faculty,N/A,2026-06-07 22:37:18
#327,"Regional Institute of Science and Technology - [RIST], Ri-Bhoi","Ri-Bhoi, Meghalaya",AICTE Approved,N/A,N/A,B.Tech Civil Engineering,"₹ 5,48,000",N/A,N/A,4.2 / 5,Based on 5 User Reviews,Best in Academics,N/A,2026-06-07 22:37:22
#328,"University School of Chemical Technology, Guru Gobind Singh Indraprastha University - [USCT], New Delhi","New Delhi, Delhi NCR",AICTE Approved,N/A,N/A,B.Tech + M.Tech Chemical Engineering,"₹ 12,96,105",N/A,N/A,3.7 / 5,Based on 12 User Reviews,N/A,#50th/160 in India for Engineering 2025,2026-06-07 22:37:27
#329,"Keshav Memorial Engineering College - [KMEC], Hyderabad","Hyderabad, Telangana",AICTE Approved,N/A,N/A,BE Computer Science and Engineering (Artificial Intelligence and Machine Learning),"₹ 3,02,000","₹ 7,50,000","₹ 40,00,000",4.2 / 5,Based on 50 User Reviews,Best in Placements,N/A,2026-06-07 22:37:32
#330,"Gulzar Group of Institutes - [GGI], Ludhiana","Ludhiana, Punjab",AICTE Approved,A+,N/A,B.Tech Computer Science and Engineering,"₹ 4,39,800","₹ 17,00,000",N/A,3.8 / 5,Based on 146 User Reviews,Best in Faculty,N/A,2026-06-07 22:37:36
#331,"R V S College of Engineering and Technology - [RVSCET], Karaikal","Karaikal, Puducherry",AICTE Approved,N/A,N/A,B.Tech Computer Science and Engineering,"₹ 1,60,000",N/A,N/A,N/A,N/A,N/A,N/A,2026-06-07 22:37:40
#332,"Lakshmi Narain College of Technology & Science - [LNCTS], Bhopal","Bhopal, Madhya Pradesh",AICTE Approved,N/A,N/A,BE Computer Science And Engineering,"₹ 5,30,400",N/A,N/A,3.8 / 5,Based on 204 User Reviews,Best in Placements,#153th/286 in India for Engineering 2025,2026-06-07 22:37:44
#333,"Amity University, Ranchi","Ranchi, Jharkhand","BCI, UGC, AIU Approved",N/A,N/A,B.Tech Computer Science and Engineering,"₹ 7,64,000","₹ 46,99,000",N/A,4 / 5,Based on 152 User Reviews,Best in Faculty,#94th/269 in India for Engineering 2025,2026-06-07 22:37:49
