CD Rank,College Name,Location,Approvals,NAAC Grade,CD Score,Course,Course Fees,Avg Package,Highest Package,User Rating,Reviews,Best In,National Ranking,Scraped At
#1961,"Ferozepur College of Engineering and Technology - [FCET], Moga","Moga, Punjab",AICTE Approved,N/A,N/A,B.Tech Computer Science,"₹ 3,66,000","₹ 1,80,000","₹ 2,40,000",3.7 / 5,Based on 11 User Reviews,N/A,N/A,2026-06-07 14:37:34
#1962,"Jerusalem College of Engineering - [JCE], Chennai","Chennai, Tamil Nadu","UGC, NBA Approved",A,N/A,BE Computer Science And Engineering,"₹ 2,20,000","₹ 12,00,000",N/A,3.9 / 5,Based on 34 User Reviews,Best in Academics,#114th/175 in India for Engineering 2026,2026-06-07 14:37:38
#1963,"Musaliar College of Engineering and Technology, Pathanamthitta","Pathanamthitta, Kerala",AICTE Approved,B+,N/A,B.Tech Electronics & Communication Engineering,"₹ 5,02,000","₹ 5,00,000","₹ 12,00,000",3.6 / 5,Based on 19 User Reviews,N/A,N/A,2026-06-07 14:37:42
#1964,"IITM College of Engineering Bahadurgarh, Bahadurgarh","Bahadurgarh, Haryana","AICTE, BCI, UGC Approved",A+,N/A,B.Tech Computer Science and Engineering,"₹ 5,50,200","₹ 5,87,000","₹ 11,00,000",1.7 / 5,Based on 2 User Reviews,Best in Infrastructure,#59th/175 in India for Engineering 2025,2026-06-07 14:37:45
#1965,"Shree Digamber Institute of Technology - [SDIT], Dausa","Dausa, Rajasthan",AICTE Approved,N/A,N/A,B.Tech Computer Engineering,"₹ 2,87,500",N/A,N/A,3.7 / 5,Based on 4 User Reviews,N/A,N/A,2026-06-07 14:37:48
#1966,"Karpagam Institute of Technology, Coimbatore","Coimbatore, Tamil Nadu",AICTE Approved,N/A,628/1000,B.Tech Information Technology,"₹ 2,20,000","₹ 2,40,000","₹ 3,50,000",3.9 / 5,Based on 25 User Reviews,Best in Placements,#288th/500 in India for Engineering 2026,2026-06-07 14:37:52
#1967,"MES Institute of Technology and Management - [MESITAM], Kollam","Kollam, Kerala",AICTE Approved,N/A,N/A,B.Tech Civil Engineering,"₹ 5,02,000",N/A,N/A,3.7 / 5,Based on 10 User Reviews,Best in Social Life,N/A,2026-06-07 14:37:55
#1968,"Gyan Vihar School of Engineering and Technology [GVSET], Jaipur","Jaipur, Rajasthan",NBA Approved,N/A,N/A,B.Tech Mechanical Engineering,"₹ 4,32,000",N/A,N/A,3 / 5,Based on 1 User Reviews,Best in Infrastructure,N/A,2026-06-07 14:37:58
#1969,"Kanad Institute of Engineering and Management - [KIEM], Durgapur","Durgapur, West Bengal",AICTE Approved,N/A,N/A,B.Tech Computer Science and Engineering,"₹ 2,50,000","₹ 2,00,000","₹ 2,20,000",3.7 / 5,Based on 10 User Reviews,Best in Academics,N/A,2026-06-07 14:38:01
#1970,"Continental Institute of Engineering & Technology - [CIET], Fatehgarh Sahib","Fatehgarh Sahib, Punjab",AICTE Approved,N/A,N/A,B.Tech Computer Science and Engineering,"₹ 3,66,000",N/A,N/A,4.5 / 5,Based on 3 User Reviews,N/A,N/A,2026-06-07 14:38:03
