CD Rank,College Name,Location,Approvals,NAAC Grade,CD Score,Course,Course Fees,Avg Package,Highest Package,User Rating,Reviews,Best In,National Ranking,Scraped At
#1371,"SD College of Engineering and Technology - [SDCET], Muzaffarnagar","Muzaffarnagar, Uttar Pradesh",AICTE Approved,N/A,N/A,B.Tech Computer Science and Engineering,"₹ 2,44,800",N/A,N/A,3.6 / 5,Based on 9 User Reviews,Best in Faculty,N/A,2026-06-07 14:07:30
#1372,"Himalayan Institute of Technology and Management - [HITM], Lucknow","Lucknow, Uttar Pradesh",AICTE Approved,N/A,N/A,B.Tech Mechanical Engineering,"₹ 2,44,800",N/A,N/A,4.3 / 5,Based on 2 User Reviews,N/A,N/A,2026-06-07 14:07:32
#1373,"Swarrnim Startup & Innovation University, Gandhinagar","Gandhinagar, Gujarat","AICTE, COA, INC, CCIM, UGC Approved",N/A,N/A,B.Tech Computer Engineering,"₹ 2,98,200","₹ 84,00,000",N/A,3.6 / 5,Based on 18 User Reviews,Best in Academics,N/A,2026-06-07 14:07:35
#1374,"Naraina College of Engineering and Technology - [NCET], Kanpur","Kanpur, Uttar Pradesh",AICTE Approved,N/A,N/A,B.Tech Electronics & Communication Engineering,"₹ 2,44,800",N/A,N/A,3.1 / 5,Based on 14 User Reviews,Best in Academics,N/A,2026-06-07 14:07:37
#1375,"Manipur Institute of Technology - [MIT], Imphal","Imphal, Manipur","AICTE, NBA Approved",N/A,N/A,BE Civil Engineering,"₹ 2,29,540",N/A,N/A,3.6 / 5,Based on 11 User Reviews,N/A,N/A,2026-06-07 14:07:40
#1376,"JB Institute of Technology - [JBIT], Dehradun","Dehradun, Uttarakhand","AICTE, PCI Approved",A,N/A,B.Tech Computer Science and Engineering,"₹ 5,39,800","₹ 30,00,000",N/A,3.7 / 5,Based on 67 User Reviews,Best in Academics,#190th/284 in India for Engineering 2024,2026-06-07 14:07:42
#1377,"Muthoot Institute of Technology & Science - [MITS], Ernakulam","Ernakulam, Kerala","AICTE, NBA Approved",N/A,N/A,B.Tech Computer Science and Engineering,"₹ 7,06,000","₹ 2,50,000","₹ 11,10,000",4.1 / 5,Based on 71 User Reviews,Best in Academics,#251th/300 in India for Engineering 2022,2026-06-07 14:07:45
#1378,"Jaypee University of Information Technology - [JUIT], Solan","Solan, Himachal Pradesh","AICTE, UGC, NBA, AIU Approved",A+,N/A,B.Tech Computer Science and Engineering,"₹ 14,63,700","₹ 7,19,000","₹ 50,00,000",4 / 5,Based on 206 User Reviews,Best in Infrastructure,#201th/300 in India for Engineering 2025,2026-06-07 14:07:49
#1379,"Himalayan Group of Professional Institutions, Sirmaur","Sirmaur, Himachal Pradesh","AICTE, PCI, INC, BCI Approved",N/A,N/A,B.Tech Computer Science and Engineering,"₹ 3,09,470","₹ 4,00,000","₹ 20,00,000",3.9 / 5,Based on 25 User Reviews,Best in Academics,N/A,2026-06-07 14:07:52
#1380,"Girijananda Chowdhury University (GCU), Guwahati","Guwahati, Assam","AICTE, NBA Approved",N/A,N/A,B.Tech Computer Science and Engineering,"₹ 5,08,000","₹ 4,50,000",N/A,3.7 / 5,Based on 37 User Reviews,Best in Faculty,N/A,2026-06-07 14:07:54
