CD Rank,College Name,Location,Approvals,NAAC Grade,CD Score,Course,Course Fees,Avg Package,Highest Package,User Rating,Reviews,Best In,National Ranking,Scraped At
#842,"Indrashil University Rajpur, Kadi","Kadi, Gujarat","AICTE, PCI, UGC Approved",N/A,N/A,B.Tech VLSI Design,"₹ 4,61,000","₹ 3,40,000","₹ 6,00,000",4.1 / 5,Based on 16 User Reviews,Best in Academics,#67th/175 in India for Engineering 2026,2026-06-07 23:30:33
#843,"Sahyadri Valley College of Engineering and Technology - [SVCET], Pune","Pune, Maharashtra",AICTE Approved,B+,N/A,BE Mechanical Engineering,"₹ 2,96,000","₹ 4,90,000","₹ 10,00,000",3.9 / 5,Based on 2 User Reviews,Best in Academics,N/A,2026-06-07 23:30:37
#844,"MVR College of Engineering and Technology - [MVRCET], Vijayawada","Vijayawada, Andhra Pradesh","AICTE, NBA Approved",A,N/A,B.Tech Computer Science and Engineering,"₹ 1,72,000","₹ 7,00,000",N/A,3.9 / 5,Based on 19 User Reviews,Best in Faculty,N/A,2026-06-07 23:30:41
#845,"Trinity College of Engineering and Technology - [TCET], Karimnagar","Karimnagar, Telangana","AICTE, UGC Approved",B++,N/A,B.Tech Artificial Intelligence & Machine Learning,"₹ 2,73,000","₹ 7,00,000",N/A,3.9 / 5,Based on 10 User Reviews,Best in Academics,N/A,2026-06-07 23:30:45
#846,"Babu Banarasi Das Engineering College - [BBDEC], Lucknow","Lucknow, Uttar Pradesh",AICTE Approved,N/A,N/A,B.Tech Computer Science and Engineering,"₹ 2,44,800","₹ 4,00,000","₹ 6,50,000",3.8 / 5,Based on 167 User Reviews,N/A,N/A,2026-06-07 23:30:49
#847,"PlastIndia International University, Vapi","Vapi, Gujarat","AICTE, UGC Approved",N/A,N/A,B.Tech Plastic And Polymer Engineering,"₹ 3,12,500",N/A,N/A,N/A,N/A,N/A,N/A,2026-06-07 23:30:53
#848,"Smt. Indira Gandhi College of Engineering - [SIGCE], Navi Mumbai","Navi Mumbai, Maharashtra",AICTE Approved,A,517/1000,BE Electrical Engineering,"₹ 4,50,516","₹ 2,40,000","₹ 10,00,000",3.2 / 5,Based on 42 User Reviews,Best in Academics,#481th/500 in India for Engineering 2026,2026-06-07 23:30:58
#849,"IPS College of Technology and Management, Gwalior","Gwalior, Madhya Pradesh",AICTE Approved,A,N/A,BE Computer Science And Engineering,"₹ 2,36,000","₹ 13,00,000",N/A,3 / 5,Based on 18 User Reviews,Best in Infrastructure,N/A,2026-06-07 23:31:02
#850,"Sreenivasa Institute of Technology & Management Studies - [SITAMS], Murakambattu","Murakambattu, Andhra Pradesh",AICTE Approved,N/A,N/A,B.Tech Computer Science and Engineering,"₹ 2,01,200","₹ 2,85,000","₹ 4,80,000",3.8 / 5,Based on 58 User Reviews,Best in Academics,N/A,2026-06-07 23:31:07
#851,"Tatyasaheb Kore Institute of Engineering and Technology - [TKIET], Kolhapur","Kolhapur, Maharashtra","AICTE, NBA Approved",A,N/A,B.Tech {Hons.} Computer Science Engineering,"₹ 4,23,040","₹ 4,20,000","₹ 8,50,000",3.9 / 5,Based on 52 User Reviews,Best in Faculty,#203th/246 in India for Engineering 2023,2026-06-07 23:31:11
