CD Rank,College Name,Location,Approvals,NAAC Grade,CD Score,Course,Course Fees,Avg Package,Highest Package,User Rating,Reviews,Best In,National Ranking,Scraped At
#121,"Sathyabama Institute of Science and Technology, Chennai","Chennai, Tamil Nadu","DCI, AICTE, COA, PCI, INC Approved",A++,N/A,BE Computer Science And Engineering,"₹ 12,20,000","₹ 5,57,000","₹ 41,20,000",4 / 5,Based on 668 User Reviews,Best in Accomodation,#314th/500 in India for Engineering 2025,2026-06-07 22:21:07
#122,"National Institute of Food Technology Entrepreneurship and Management - [NIFTEM], Sonepat","Sonepat, Haryana","AICTE, UGC Approved",N/A,609/2000,B.Tech Food Technology and Management,"₹ 12,11,250","₹ 18,00,000",N/A,4 / 5,Based on 34 User Reviews,Best in Infrastructure,#316th/500 in India for Engineering 2025,2026-06-07 22:21:10
#123,"M.S. Ramaiah University of Applied Sciences - [MSRUAS], Bangalore","Bangalore, Karnataka","DCI, AICTE, PCI, BCI, UGC Approved",A+,640/1000,B.Tech Computer Science and Engineering,"₹ 21,00,000","₹ 7,00,000","₹ 52,00,000",4 / 5,Based on 156 User Reviews,Best in Academics,#265th/500 in India for Engineering 2026,2026-06-07 22:21:14
#124,"KIET Deemed To Be University, Ghaziabad","Ghaziabad, Uttar Pradesh","AICTE, PCI, UGC, NBA Approved",A+,608/2000,B.Tech Computer Science and Engineering,"₹ 7,99,000","₹ 5,44,000","₹ 60,00,000",4.1 / 5,Based on 1144 User Reviews,Best in Social Life,#318th/500 in India for Engineering 2025,2026-06-07 22:21:17
#125,"Thakur College of Engineering and Technology - [TCET], Mumbai","Mumbai, Maharashtra","AICTE, NBA Approved",A,627/1000,B.Tech Artificial Intelligence & Data Science,"₹ 6,38,000","₹ 7,65,000","₹ 21,00,000",4 / 5,Based on 257 User Reviews,Best in Infrastructure,#290th/500 in India for Engineering 2026,2026-06-07 22:21:21
#126,"Vidyavardhaka College of Engineering - [VVCE], Mysore","Mysore, Karnataka","AICTE, UGC, NBA Approved",A,627/1000,BE Computer Science And Engineering,"₹ 20,50,000","₹ 6,60,000","₹ 23,00,000",4.1 / 5,Based on 128 User Reviews,Best in Infrastructure,#289th/500 in India for Engineering 2026,2026-06-07 22:21:25
#127,"CMR Institute of Technology - [CMRIT], Bangalore","Bangalore, Karnataka","AICTE, NBA Approved",A++,773/1000,BE Computer Science And Engineering,"₹ 12,04,000","₹ 6,99,000","₹ 44,10,000",4 / 5,Based on 489 User Reviews,Best in Academics,#105th/500 in India for Engineering 2026,2026-06-07 22:21:29
#128,"DY Patil International University - [DYPIU], Pune","Pune, Maharashtra","AICTE, UGC, AIU Approved",A,605/2000,B.Tech Computer Science and Engineering,"₹ 11,32,500","₹ 7,00,000","₹ 33,00,000",4.1 / 5,Based on 45 User Reviews,Best in Infrastructure,#322th/500 in India for Engineering 2025,2026-06-07 22:21:32
#129,"International Institute of Information Technology - [I²IT], Pune","Pune, Maharashtra","AICTE, UGC, NBA Approved",A,776/1000,B.Tech Computer Engineering,"₹ 4,88,000","₹ 28,00,000",N/A,3.8 / 5,Based on 79 User Reviews,Best in Infrastructure,#104th/500 in India for Engineering 2026,2026-06-07 22:21:35
#130,"REVA University, Bangalore","Bangalore, Karnataka","AICTE, COA, BCI, UGC Approved",A+,669/1000,B.Tech Computer Science and Engineering,"₹ 26,00,000","₹ 56,00,000",N/A,4.2 / 5,Based on 557 User Reviews,Best in Infrastructure,#230th/500 in India for Engineering 2026,2026-06-07 22:21:38
#131,"G L Bajaj Institute of Technology and Management, Greater Noida","Greater Noida, Uttar Pradesh","AICTE, NBA Approved",A+,N/A,B.Tech Computer Science and Engineering,"₹ 4,21,800","₹ 7,35,000","₹ 58,00,000",3.9 / 5,Based on 760 User Reviews,Best in Placements,#327th/500 in India for Engineering 2025,2026-06-07 22:21:42
#132,"Acharya Institute of Technology - [AIT], Bangalore","Bangalore, Karnataka","AICTE, NBA Approved",N/A,587/1000,BE Computer Science And Engineering,"₹ 12,04,400","₹ 6,00,000","₹ 65,00,000",4.1 / 5,Based on 365 User Reviews,Best in Infrastructure,#364th/500 in India for Engineering 2026,2026-06-07 22:21:45
#133,"Malnad College of Engineering - [MCE], Hassan","Hassan, Karnataka","AICTE, UGC, NBA Approved",B+,515/1000,BE Computer Science And Engineering,"₹ 4,86,440","₹ 12,50,000",N/A,4 / 5,Based on 78 User Reviews,Best in Academics,#487th/500 in India for Engineering 2026,2026-06-07 22:21:48
#134,"Sahyadri College of Engineering & Management (SCEM), Mangalore","Mangalore, Karnataka","AICTE, NBA Approved",A,546/1000,BE Computer Science And Engineering,"₹ 12,04,400","₹ 4,00,000","₹ 40,00,000",4.1 / 5,Based on 109 User Reviews,Best in Infrastructure,#426th/500 in India for Engineering 2026,2026-06-07 22:21:51
#135,"Pimpri Chinchwad College of Engineering and Research - [PCCOER] Ravet, Pune","Pune, Maharashtra","AICTE, NBA Approved",A++,660/1000,BE Computer Engineering,"₹ 5,72,000","₹ 5,34,000","₹ 19,50,000",3.9 / 5,Based on 42 User Reviews,Best in Academics,#236th/500 in India for Engineering 2026,2026-06-07 22:21:55
#136,"BGS & SJB Group of Institutions, Bangalore","Bangalore, Karnataka","AICTE, NBA Approved",A+,560/1000,BE Computer Science And Engineering,"₹ 12,04,400","₹ 5,52,000","₹ 27,00,000",3.8 / 5,Based on 135 User Reviews,Best in Infrastructure,#402th/500 in India for Engineering 2026,2026-06-07 22:21:59
#137,"Woxsen University, Hyderabad","Hyderabad, Telangana","COA, BCI, AACSB, AMBA Approved",N/A,723/1000,B.Tech Computer Science and Engineering,"₹ 28,85,000","₹ 9,90,000","₹ 24,00,000",4.2 / 5,Based on 196 User Reviews,Best in Faculty,#164th/500 in India for Engineering 2026,2026-06-07 22:22:03
#138,"Sri Siddhartha Institute of Technology - [SSIT], Tumkur","Tumkur, Karnataka","AICTE, NBA Approved",A+,595/2000,BE Computer Science And Engineering,"₹ 16,00,000","₹ 12,00,000",N/A,4 / 5,Based on 50 User Reviews,Best in Infrastructure,#337th/500 in India for Engineering 2025,2026-06-07 22:22:06
#139,"Vidyalankar Institute of Technology - [VIT], Mumbai","Mumbai, Maharashtra",AICTE Approved,A+,644/1000,BE Computer Science & Electronic Engineering,"₹ 7,04,000","₹ 12,96,000","₹ 37,50,000",4.2 / 5,Based on 275 User Reviews,Best in Infrastructure,#256th/500 in India for Engineering 2026,2026-06-07 22:22:10
#140,"KLE Dr. M.S.Sheshgiri College of Engineering & Technology, Belgaum","Belgaum, Karnataka","AICTE, NBA Approved",A,593/2000,BE Computer Science And Engineering,"₹ 9,73,698","₹ 34,00,000",N/A,3.9 / 5,Based on 47 User Reviews,N/A,#339th/500 in India for Engineering 2025,2026-06-07 22:22:13
