CD Rank,College Name,Location,Approvals,NAAC Grade,CD Score,Course,Course Fees,Avg Package,Highest Package,User Rating,Reviews,Best In,National Ranking,Scraped At
#1202,"Viva Institute of Technology - [VIOT], Thane","Thane, Maharashtra",AICTE Approved,N/A,N/A,BE Mechanical Engineering,"₹ 2,99,601",N/A,N/A,3.5 / 5,Based on 173 User Reviews,Best in Social Life,#91th/162 in India for Engineering 2020,2026-06-07 23:52:22
#1203,"RV Institute of Technology, Guntur","Guntur, Andhra Pradesh","AICTE, UGC Approved",A,N/A,B.Tech Electronics & Communication Engineering,"₹ 1,64,000","₹ 4,50,000","₹ 10,25,000",3.6 / 5,Based on 11 User Reviews,Best in Academics,N/A,2026-06-07 23:52:26
#1204,"College of Engineering, Osmanabad","Osmanabad, Maharashtra",AICTE Approved,N/A,N/A,B.Tech Electronics & Telecommunication Engineering,"₹ 3,96,000","₹ 7,00,000",N/A,3.7 / 5,Based on 99 User Reviews,Best in Faculty,N/A,2026-06-07 23:52:30
#1205,"Babu Sunder Singh Institute of Technology and Management - [BSSITM], Lucknow","Lucknow, Uttar Pradesh",AICTE Approved,N/A,N/A,B.Tech Computer Science and Engineering,"₹ 2,44,800",N/A,N/A,3.8 / 5,Based on 23 User Reviews,Best in Academics,N/A,2026-06-07 23:52:33
#1206,"Srinivasa Ramanujan Institute of Technology - [SRIT], Anantapur","Anantapur, Andhra Pradesh","AICTE, UGC, NBA Approved",A,N/A,B.Tech Computer Science and Engineering,"₹ 1,96,400","₹ 3,95,000","₹ 9,08,000",4 / 5,Based on 110 User Reviews,Best in Infrastructure,#215th/284 in India for Engineering 2024,2026-06-07 23:52:37
#1207,"Rajiv Gandhi College of Engineering, Research and Technology - [RCERT], Chandrapur","Chandrapur, Maharashtra",AICTE Approved,B+,N/A,B.Tech Computer Science and Engineering,"₹ 5,18,000","₹ 3,00,000",N/A,3.6 / 5,Based on 41 User Reviews,Best in Faculty,N/A,2026-06-07 23:52:41
#1208,"Pillai HOC College of Engineering and Technology - [PHCET], Navi Mumbai","Navi Mumbai, Maharashtra",AICTE Approved,A+,N/A,BE Computer Engineering,"₹ 3,99,000","₹ 4,50,000","₹ 7,50,000",3.8 / 5,Based on 72 User Reviews,Best in Infrastructure,N/A,2026-06-07 23:52:45
#1209,"Sri Vasavi Engineering College - [SVEC], Tadepalligudem","Tadepalligudem, Andhra Pradesh","AICTE, NBA Approved",A,567/1000,B.Tech Computer Science and Engineering,"₹ 3,08,800","₹ 7,00,000",N/A,3.9 / 5,Based on 169 User Reviews,Best in Infrastructure,#392th/500 in India for Engineering 2026,2026-06-07 23:52:49
#1210,"Shri Siddhi Vinayak Group of Institutions - [SSVGI], Bareilly","Bareilly, Uttar Pradesh","AICTE, INC, UGC Approved",N/A,N/A,B.Tech Computer Science and Engineering,"₹ 3,20,700","₹ 5,40,000","₹ 20,00,000",3.8 / 5,Based on 37 User Reviews,Best in Placements,N/A,2026-06-07 23:52:53
#1211,"Vishwabharati Academy's College of Engineering & Polytechnic - [VACEOP], Ahmednagar","Ahmednagar, Maharashtra",AICTE Approved,N/A,N/A,BE Civil Engineering,"₹ 2,86,000",N/A,N/A,4.1 / 5,Based on 6 User Reviews,N/A,N/A,2026-06-07 23:52:56
