CD Rank,College Name,Location,Approvals,NAAC Grade,CD Score,Course,Course Fees,Avg Package,Highest Package,User Rating,Reviews,Best In,National Ranking,Scraped At
#671,"Amity University, Bangalore","Bangalore, Karnataka",UGC Approved,N/A,N/A,B.Tech Computer Science and Engineering,"₹ 16,80,000","₹ 23,00,000",N/A,3.8 / 5,Based on 3 User Reviews,N/A,N/A,2026-06-07 12:56:46
#672,"Shri Ramswaroop Memorial College of Engineering and Management - [SRMCEM], Lucknow","Lucknow, Uttar Pradesh",AICTE Approved,N/A,N/A,B.Tech Computer Science and Engineering,"₹ 5,88,440","₹ 4,00,000","₹ 48,00,000",3.7 / 5,Based on 224 User Reviews,Best in Academics,#62th/238 in India for Engineering 2022,2026-06-07 12:56:51
#673,"Pallavi Engineering College - [PEC], Hyderabad","Hyderabad, Telangana","AICTE, UGC Approved",A,N/A,B.Tech Computer Science and Engineering,"₹ 2,73,000","₹ 2,75,000","₹ 5,00,000",3.7 / 5,Based on 39 User Reviews,Best in Academics,N/A,2026-06-07 12:56:57
#674,"ABMSP's Anantrao Pawar College of Engineering & Research - [APCOER], Pune","Pune, Maharashtra",AICTE Approved,A,528/1000,BE Computer Engineering,"₹ 3,68,101","₹ 9,80,000",N/A,4 / 5,Based on 16 User Reviews,Best in Academics,#457th/500 in India for Engineering 2026,2026-06-07 12:57:02
#675,"Impact College of Engineering and Applied Sciences - [ICEAS], Bangalore","Bangalore, Karnataka",AICTE Approved,N/A,N/A,BE Electronics & Communication Engineering,"₹ 5,80,000",N/A,N/A,3.2 / 5,Based on 23 User Reviews,N/A,N/A,2026-06-07 12:57:06
#676,"Vaishnavi Institute of Technology and Science - [VITS], Bhopal","Bhopal, Madhya Pradesh",AICTE Approved,N/A,N/A,B.Tech Electrical Engineering,"₹ 1,82,400",N/A,N/A,3.5 / 5,Based on 9 User Reviews,Best in Academics,N/A,2026-06-07 12:57:12
#677,"RTE Sociey's Rural Engineering College - [REC], Gadag","Gadag, Karnataka","AICTE, UGC Approved",A,N/A,BE Computer Science And Engineering,"₹ 8,80,000","₹ 5,00,000",N/A,3.5 / 5,Based on 12 User Reviews,N/A,N/A,2026-06-07 12:57:16
#678,"MET Bhujbal Knowledge City, Nashik","Nashik, Maharashtra","AICTE, COA, PCI, NBA Approved",N/A,N/A,B.Tech Computer Science and Design,"₹ 3,40,593","₹ 12,00,000",N/A,4.1 / 5,Based on 101 User Reviews,Best in Infrastructure,N/A,2026-06-07 12:57:21
#679,"Avanthi's Scientific Technological & Research Academy - [ASTRA], Hyderabad","Hyderabad, Telangana",AICTE Approved,N/A,N/A,B.Tech Data Science,"₹ 2,46,000","₹ 1,44,000",N/A,3.9 / 5,Based on 24 User Reviews,Best in Faculty,N/A,2026-06-07 12:57:25
#680,"Basavakalyan Engineering College - [BKET], Basavakalyan","Basavakalyan, Karnataka",AICTE Approved,N/A,N/A,B.Tech Artificial Intelligence & Data Science,"₹ 5,80,000",N/A,N/A,2.8 / 5,Based on 10 User Reviews,N/A,N/A,2026-06-07 12:57:30
