CD Rank,College Name,Location,Approvals,NAAC Grade,CD Score,Course,Course Fees,Avg Package,Highest Package,User Rating,Reviews,Best In,National Ranking,Scraped At
#1631,"Jawaharlal College of Engineering and Technology - [JCET] Ottapalam, Palakkad","Palakkad, Kerala","AICTE, NBA Approved",N/A,N/A,B.Tech Computer Science and Engineering,"₹ 1,60,000",N/A,N/A,3.4 / 5,Based on 108 User Reviews,Best in Academics,#248th/286 in India for Engineering 2025,2026-06-07 14:19:26
#1632,"Yaduvanshi College of Engineering and Technology - [YCET], Narnaul","Narnaul, Haryana",AICTE Approved,N/A,N/A,B.Tech Computer Science and Engineering,"₹ 2,00,000","₹ 6,75,000",N/A,4.9 / 5,Based on 5 User Reviews,Best in Faculty,N/A,2026-06-07 14:19:29
#1633,"Shri Rawatpura Sarkar Institute of Technology, Raipur","Raipur, Chhattisgarh",AICTE Approved,N/A,N/A,BE Computer Science And Engineering,"₹ 2,78,300",N/A,N/A,4.6 / 5,Based on 5 User Reviews,Best in Social Life,N/A,2026-06-07 14:19:32
#1634,"Moti Babu Institute of Technology- [MBIT], Patna","Patna, Bihar",AICTE Approved,N/A,N/A,B.Tech Computer Science and Engineering,"₹ 3,60,000",N/A,N/A,4.8 / 5,Based on 2 User Reviews,N/A,N/A,2026-06-07 14:19:34
#1635,"Aryabhatta College of Engineering and Research Center, Ajmer","Ajmer, Rajasthan",AICTE Approved,N/A,N/A,B.Tech Mechanical Engineering,"₹ 2,00,000","₹ 4,50,000","₹ 9,00,000",3.5 / 5,Based on 49 User Reviews,Best in Infrastructure,N/A,2026-06-07 14:19:37
#1636,"Sundargarh Engineering College - [SEC], Sundergarh","Sundergarh, Odisha",AICTE Approved,N/A,N/A,B.Tech Mechanical Engineering,"₹ 1,80,000",N/A,N/A,5 / 5,Based on 2 User Reviews,N/A,N/A,2026-06-07 14:19:39
#1637,"Swami Vivekananda Institute of Science and Technology - [SVIST], Kolkata","Kolkata, West Bengal",AICTE Approved,N/A,N/A,B.Tech Computer Science and Engineering,"₹ 5,00,000","₹ 3,25,000","₹ 8,00,000",3.7 / 5,Based on 91 User Reviews,Best in Academics,#276th/286 in India for Engineering 2025,2026-06-07 14:19:43
#1638,"JB Knowledge Park - [JB College], Faridabad","Faridabad, Haryana",AICTE Approved,A+,N/A,B.Tech Computer Science and Engineering,"₹ 3,70,000","₹ 5,10,000","₹ 14,44,000",3.8 / 5,Based on 81 User Reviews,Best in Social Life,N/A,2026-06-07 14:19:46
#1639,"Indo Global Group of Colleges, Mohali","Mohali, Punjab","AICTE, COA Approved",N/A,N/A,B.Tech Computer Science and Engineering,"₹ 3,66,000","₹ 3,50,000","₹ 40,00,000",3.9 / 5,Based on 61 User Reviews,Best in Faculty,N/A,2026-06-07 14:19:49
#1640,"Bhartiya College of Agriculture and Agricultural Engineering, Durg","Durg, Chhattisgarh",AICTE Approved,N/A,N/A,B.Tech Agricultural Engineering,--,N/A,N/A,3.9 / 5,Based on 2 User Reviews,N/A,N/A,2026-06-07 14:19:51
