CD Rank,College Name,Location,Approvals,NAAC Grade,CD Score,Course,Course Fees,Avg Package,Highest Package,User Rating,Reviews,Best In,National Ranking,Scraped At
#762,"Deogiri Institute of Engineering and Management Studies - [DIEMS], Aurangabad","Aurangabad, Maharashtra","AICTE, NBA Approved",A,N/A,B.Tech Computer Science and Engineering,"₹ 3,36,672","₹ 4,00,000","₹ 12,00,000",3.7 / 5,Based on 70 User Reviews,Best in Academics,#89th/170 in India for Engineering 2023,2026-06-07 23:24:58
#763,"Cauvery Institute of Technology - [CIT], Mandya","Mandya, Karnataka",AICTE Approved,N/A,N/A,BE Computer Science And Engineering,"₹ 8,80,000",N/A,N/A,3.9 / 5,Based on 11 User Reviews,Best in Social Life,N/A,2026-06-07 23:25:01
#764,"Guntur Engineering College - [GEC], Guntur","Guntur, Andhra Pradesh",AICTE Approved,A,N/A,B.Tech Computer Science and Engineering,"₹ 1,60,000","₹ 3,00,000","₹ 6,00,000",3.6 / 5,Based on 22 User Reviews,Best in Academics,N/A,2026-06-07 23:25:06
#765,"Anjuman Institute of Technology and Management - [AITM], Bhatkal","Bhatkal, Karnataka",AICTE Approved,B+,N/A,BE Computer Science And Engineering,"₹ 4,49,640","₹ 7,20,000",N/A,3.6 / 5,Based on 17 User Reviews,N/A,N/A,2026-06-07 23:25:10
#766,"SSLD Varshney Engineering College [SSLD], Aligarh","Aligarh, Uttar Pradesh",AICTE Approved,N/A,N/A,B.Tech Electronics & Communication Engineering,"₹ 2,44,800",N/A,N/A,4.8 / 5,Based on 2 User Reviews,N/A,N/A,2026-06-07 23:25:14
#767,"Parvatibai Genba Moze College of Engineering - [PGMCOE], Pune","Pune, Maharashtra",AICTE Approved,B,N/A,BE Mechanical Engineering,"₹ 1,96,000","₹ 15,00,000",N/A,3.4 / 5,Based on 36 User Reviews,Best in Academics,N/A,2026-06-07 23:25:19
#768,"Princeton Institute of Engineering and Technology for Women - [PETW], Hyderabad","Hyderabad, Telangana",AICTE Approved,A,N/A,B.Tech Computer Science and Engineering,"₹ 2,93,000",N/A,N/A,3 / 5,Based on 15 User Reviews,Best in Social Life,N/A,2026-06-07 23:25:23
#769,"Lingarajappa Engineering College, Bidar","Bidar, Karnataka",AICTE Approved,N/A,N/A,BE Electronics & Communication Engineering,"₹ 6,40,000","₹ 9,00,000",N/A,3.4 / 5,Based on 10 User Reviews,Best in Academics,N/A,2026-06-07 23:25:27
#770,"Infinity Management and Engineering College - [IMEC], Sagar","Sagar, Madhya Pradesh",AICTE Approved,N/A,N/A,B.Tech Artificial Intelligence & Machine Learning,"₹ 1,92,000",N/A,N/A,4.3 / 5,Based on 2 User Reviews,Best in Academics,N/A,2026-06-07 23:25:31
#771,"Santhiram Engineering College Nandyal - [SREC], Kurnool","Kurnool, Andhra Pradesh","AICTE, UGC Approved",N/A,N/A,B.Tech Computer Science and Engineering,"₹ 1,85,200",N/A,N/A,3.6 / 5,Based on 48 User Reviews,Best in Academics,N/A,2026-06-07 23:25:34
#772,"Sri Basaveshwara Institute of Technology - [SBIT], Tumkur","Tumkur, Karnataka",AICTE Approved,N/A,N/A,BE Electronics & Communication Engineering,"₹ 4,49,640",N/A,N/A,N/A,N/A,N/A,N/A,2026-06-07 23:25:37
#773,"Rizvi College of Engineering - [RCOE], Mumbai","Mumbai, Maharashtra",AICTE Approved,B+,N/A,BE Artificial Intelligence and Data Science,"₹ 4,32,000","₹ 12,00,000",N/A,3.9 / 5,Based on 181 User Reviews,Best in Academics,#131th/173 in India for Engineering 2024,2026-06-07 23:25:42
#774,"Karavali Institute of Technology - [KIT], Mangalore","Mangalore, Karnataka",AICTE Approved,N/A,N/A,BE Civil Engineering,"₹ 4,17,060","₹ 3,00,000",N/A,3.7 / 5,Based on 29 User Reviews,Best in Social Life,N/A,2026-06-07 23:25:46
#775,"Gokaraju Lailavathi Womens Engineering College - [GLWEC], Hyderabad","Hyderabad, Telangana",AICTE Approved,N/A,N/A,BE Computer Science And Engineering,"₹ 2,93,000","₹ 33,00,000",N/A,3.9 / 5,Based on 24 User Reviews,Best in Infrastructure,N/A,2026-06-07 23:25:50
#776,"Srinivasa Institute of Engineering and Technology - [SIET], East Godavari","East Godavari, Andhra Pradesh","AICTE, UGC Approved",A,N/A,B.Tech Electronics & Communication Engineering,"₹ 1,88,400",N/A,N/A,3.9 / 5,Based on 26 User Reviews,N/A,N/A,2026-06-07 23:25:54
