CD Rank,College Name,Location,Approvals,NAAC Grade,CD Score,Course,Course Fees,Avg Package,Highest Package,User Rating,Reviews,Best In,National Ranking,Scraped At
#1301,"Aditya Engineering College - [AEC], Beed","Beed, Maharashtra",AICTE Approved,N/A,N/A,B.Tech Computer Science and Engineering,"₹ 4,75,000","₹ 6,20,000","₹ 12,00,000",3.7 / 5,Based on 17 User Reviews,Best in Infrastructure,N/A,2026-06-07 14:04:21
#1302,"Institute of Technology and Management - [ITM], Meerut","Meerut, Uttar Pradesh",AICTE Approved,N/A,N/A,B.Tech Computer Science and Engineering,"₹ 2,44,800",N/A,N/A,3.3 / 5,Based on 12 User Reviews,Best in Infrastructure,N/A,2026-06-07 14:04:23
#1303,"DN Patel College of Engineering - [DNPCE], Nandurbar","Nandurbar, Maharashtra","AICTE, NBA Approved",B,N/A,B.Tech Computer Engineering,"₹ 3,00,000",N/A,N/A,3 / 5,Based on 12 User Reviews,Best in Infrastructure,N/A,2026-06-07 14:04:26
#1304,"Phaltan Education Society's College of Engineering - [PESCOE], Satara","Satara, Maharashtra",AICTE Approved,A,N/A,BE Civil Engineering,"₹ 3,22,876",N/A,N/A,4.8 / 5,Based on 2 User Reviews,Best in Placements,#163th/173 in India for Engineering 2024,2026-06-07 14:04:29
#1305,"College of Engineering and Rural Technology - [CERT], Meerut","Meerut, Uttar Pradesh",AICTE Approved,N/A,N/A,B.Tech Electronics & Communication Engineering,"₹ 2,44,800",N/A,N/A,3.7 / 5,Based on 11 User Reviews,Best in Academics,N/A,2026-06-07 14:04:32
#1306,"Sahakar Maharashi Shankarrao Mohite - Patil Institute of Technology and Research - [SMSMPITR], Solapur","Solapur, Maharashtra",AICTE Approved,B+,N/A,B.Tech Civil Engineering,"₹ 2,60,000",N/A,N/A,4 / 5,Based on 2 User Reviews,Best in Faculty,N/A,2026-06-07 14:04:34
#1307,"Gangamai College of Engineering, Dhule","Dhule, Maharashtra",AICTE Approved,N/A,N/A,BE Civil Engineering,"₹ 2,40,000",N/A,N/A,3.4 / 5,Based on 7 User Reviews,N/A,N/A,2026-06-07 14:04:37
#1308,"Vishveshwarya Group of Institutions - [VGI], Greater Noida","Greater Noida, Uttar Pradesh","AICTE, PCI Approved",N/A,N/A,B.Tech Computer Science and Engineering,"₹ 2,44,800","₹ 5,80,000","₹ 28,00,000",3.4 / 5,Based on 105 User Reviews,Best in Infrastructure,N/A,2026-06-07 14:04:39
#1309,"Theem College of Engineering - [TCOE], Palghar","Palghar, Maharashtra",AICTE Approved,B+,N/A,BE Computer Engineering,"₹ 2,56,000","₹ 1,50,000","₹ 3,00,000",3.2 / 5,Based on 48 User Reviews,Best in Infrastructure,N/A,2026-06-07 14:04:43
#1310,"Maulana Mukhtar Ahmad Nadvi Technical Campus, Malegaon","Malegaon, Maharashtra",AICTE Approved,N/A,N/A,BE Computer Engineering,"₹ 2,36,000","₹ 12,00,000",N/A,3 / 5,Based on 11 User Reviews,N/A,N/A,2026-06-07 14:04:45
