CD Rank,College Name,Location,Approvals,NAAC Grade,CD Score,Course,Course Fees,Avg Package,Highest Package,User Rating,Reviews,Best In,National Ranking,Scraped At
#722,"Navodaya Institute of Technology - [NIT], Raichur","Raichur, Karnataka","AICTE, UGC Approved",A,N/A,BE Electronics & Communication Engineering,"₹ 8,80,000",N/A,N/A,3.6 / 5,Based on 13 User Reviews,Best in Infrastructure,N/A,2026-06-07 23:22:10
#723,"Rishi M.S Institute of Engineering & Technology for Women - [RITW], Hyderabad","Hyderabad, Telangana","AICTE, UGC, NBA Approved",A,N/A,B.Tech Computer Science and Engineering,"₹ 2,40,000","₹ 7,25,000",N/A,4.1 / 5,Based on 51 User Reviews,Best in Social Life,N/A,2026-06-07 23:22:14
#724,"Ghousia College of Engineering - [GCE], Ramanagar","Ramanagar, Karnataka","AICTE, NBA Approved",N/A,N/A,BE Mechanical Engineering,"₹ 4,49,640",N/A,N/A,3.4 / 5,Based on 32 User Reviews,Best in Infrastructure,N/A,2026-06-07 23:22:18
#725,"JIMS Engineering Management Technical Campus- [JEMTEC], Greater Noida","Greater Noida, Uttar Pradesh","NCTE, AICTE, BCI Approved",N/A,N/A,B.Tech Computer Science and Engineering,"₹ 8,50,714","₹ 46,00,000",N/A,4.2 / 5,Based on 292 User Reviews,Best in Academics,#133th/238 in India for Engineering 2022,2026-06-07 23:22:22
#726,"Viswam Engineering College, Madanapalle","Madanapalle, Andhra Pradesh","AICTE, UGC, NBA Approved",A,N/A,B.Tech Computer Science and Engineering,"₹ 1,60,000","₹ 4,50,000","₹ 8,00,000",4.1 / 5,Based on 24 User Reviews,Best in Academics,N/A,2026-06-07 23:22:26
#727,"Millennium Institute of Technology & Science - [MITS], Bhopal","Bhopal, Madhya Pradesh",AICTE Approved,N/A,N/A,BE Civil Engineering,"₹ 1,56,000",N/A,N/A,3.3 / 5,Based on 10 User Reviews,Best in Academics,N/A,2026-06-07 23:22:30
#728,"Biluru Gurubasava Mahaswamiji Institute of Technology - [BGMIT], Bagalkot","Bagalkot, Karnataka","AICTE, NBA Approved",N/A,N/A,BE Electronics & Communication Engineering,"₹ 5,00,000",N/A,N/A,4 / 5,Based on 2 User Reviews,Best in Academics,N/A,2026-06-07 23:22:34
#729,"Cummins College Of Engineering For Women (Autonomous), Nagpur","Nagpur, Maharashtra",AICTE Approved,A+,547/1000,B.Tech Computer Engineering,"₹ 5,78,000","₹ 6,42,000","₹ 24,75,000",4.1 / 5,Based on 29 User Reviews,Best in Placements,#424th/500 in India for Engineering 2026,2026-06-07 23:22:38
#730,"Dr. Sri Sri Sri Shivakumar Mahaswamy College of Engineering - [Dr.SMCE], Nelamagala","Nelamagala, Karnataka",AICTE Approved,N/A,N/A,BE Computer Science And Engineering,"₹ 8,24,444","₹ 12,25,000",N/A,3.4 / 5,Based on 19 User Reviews,Best in Faculty,N/A,2026-06-07 23:22:42
#731,"Lords Institute of Engineering and Technology -[LIET], Hyderabad","Hyderabad, Telangana","AICTE, UGC, NBA Approved",A,N/A,BE Computer Science And Engineering,"₹ 3,72,000","₹ 4,00,000","₹ 12,00,000",3.9 / 5,Based on 130 User Reviews,Best in Infrastructure,#238th/269 in India for Engineering 2025,2026-06-07 23:22:47
#732,"RK College of Engineering - [RKCE], Vijayawada","Vijayawada, Andhra Pradesh",AICTE Approved,A,N/A,B.Tech Artificial Intelligence & Machine Learning,"₹ 1,60,000","₹ 3,50,000",N/A,4 / 5,Based on 17 User Reviews,Best in Infrastructure,N/A,2026-06-07 23:22:51
#733,"Veerayatan Institute of Engineering, Kachchh","Kachchh, Gujarat",AICTE Approved,N/A,N/A,BE Mechanical Engineering,"₹ 2,64,000",N/A,N/A,3.4 / 5,Based on 6 User Reviews,N/A,N/A,2026-06-07 23:22:55
#734,"Vidyashilp University - [VU], Bangalore","Bangalore, Karnataka","BCI, UGC, AIU Approved",N/A,N/A,B.Tech {Hons.} Data Science,"₹ 20,29,500",N/A,N/A,4 / 5,Based on 1 User Reviews,N/A,N/A,2026-06-07 23:22:58
#735,"Raj Kumar Goel Institute of Technology - [RKGIT], Ghaziabad","Ghaziabad, Uttar Pradesh","AICTE, PCI, NBA Approved",A,N/A,B.Tech Computer Science and Engineering,"₹ 6,10,100","₹ 5,50,000","₹ 34,00,000",3.7 / 5,Based on 403 User Reviews,Best in Academics,N/A,2026-06-07 23:23:03
#736,"Shah and Anchor Kutchhi Engineering College - [SAKEC], Mumbai","Mumbai, Maharashtra","AICTE, NBA Approved",A,631/1000,B.Tech Computer Engineering,"₹ 6,41,716","₹ 4,92,000","₹ 52,00,000",3.6 / 5,Based on 101 User Reviews,Best in Faculty,#280th/500 in India for Engineering 2026,2026-06-07 23:23:08
#737,"Akshaya Institute of Technology - [AIT], Tumkur","Tumkur, Karnataka",AICTE Approved,N/A,N/A,BE Computer Science And Engineering,"₹ 8,00,000","₹ 7,30,000",N/A,3.7 / 5,Based on 29 User Reviews,Best in Social Life,N/A,2026-06-07 23:23:11
#738,"Patel College of Science and Technology - [PCST], Bhopal","Bhopal, Madhya Pradesh",AICTE Approved,N/A,N/A,BE Computer Science And Engineering,"₹ 1,60,000",N/A,N/A,3.7 / 5,Based on 47 User Reviews,Best in Faculty,N/A,2026-06-07 23:23:15
#739,"Adarsh College of Engineering - [ACEE], Chebrole, East Godavari","East Godavari, Andhra Pradesh",AICTE Approved,N/A,N/A,B.Tech Computer Science and Engineering,"₹ 1,60,000","₹ 18,00,000",N/A,3.2 / 5,Based on 25 User Reviews,Best in Faculty,N/A,2026-06-07 23:23:19
#740,"Ellenki College of Engineering and Technology - [ECET], Hyderabad","Hyderabad, Telangana","AICTE, UGC Approved",N/A,N/A,B.Tech Computer Science and Engineering,"₹ 4,00,000","₹ 4,95,000","₹ 12,00,000",3.7 / 5,Based on 62 User Reviews,Best in Academics,N/A,2026-06-07 23:23:24
#741,"Dr. V.R. Godhania College of Engineering & Technology - [DRVRGCET], Porbandar","Porbandar, Gujarat",AICTE Approved,N/A,N/A,BE Computer Engineering,"₹ 47,250",N/A,N/A,3 / 5,Based on 1 User Reviews,Best in Faculty,N/A,2026-06-07 23:23:27
