CD Rank,College Name,Location,Approvals,NAAC Grade,CD Score,Course,Course Fees,Avg Package,Highest Package,User Rating,Reviews,Best In,National Ranking,Scraped At
#1581,"Haryana Engineering College - [HEC], Yamuna Nagar","Yamuna Nagar, Haryana",AICTE Approved,N/A,N/A,B.Tech Computer Science and Engineering,"₹ 2,80,000","₹ 3,50,000",N/A,3.8 / 5,Based on 21 User Reviews,N/A,N/A,2026-06-07 14:17:11
#1582,"Chouksey Engineering College, Bilaspur., Bilaspur","Bilaspur, Chhattisgarh","AICTE, PCI, CCH, NBA Approved",B++,N/A,B.Tech Computer Science and Engineering,"₹ 2,40,000","₹ 5,00,000","₹ 12,00,000",4.1 / 5,Based on 39 User Reviews,Best in Infrastructure,N/A,2026-06-07 14:17:14
#1583,"R.P. Sharma Institute of Technology, Patna","Patna, Bihar",AICTE Approved,N/A,N/A,B.Tech Computer Science and Engineering,"₹ 3,45,000",N/A,N/A,3.4 / 5,Based on 16 User Reviews,Best in Academics,N/A,2026-06-07 14:17:17
#1584,"Gopal Krishna College of Engineering & Technology, Koraput","Koraput, Odisha",AICTE Approved,N/A,N/A,B.Tech Electronics & Telecommunication Engineering,"₹ 2,20,000",N/A,N/A,3.6 / 5,Based on 3 User Reviews,Best in Academics,N/A,2026-06-07 14:17:19
#1585,"Seacom Skills University - [SSU], Birbhum","Birbhum, West Bengal","AICTE, PCI, BCI, UGC, AIU Approved",N/A,N/A,B.Tech Computer Science and Engineering,"₹ 2,98,000","₹ 3,75,000","₹ 8,40,000",3.8 / 5,Based on 25 User Reviews,Best in Faculty,N/A,2026-06-07 14:17:23
#1586,"Marian Engineering College - [MEC], Thiruvananthapuram","Thiruvananthapuram, Kerala",AICTE Approved,N/A,N/A,B.Tech Computer Science and Engineering,"₹ 4,42,500",N/A,N/A,3.9 / 5,Based on 61 User Reviews,Best in Infrastructure,N/A,2026-06-07 14:17:25
#1587,"International Institute of Technology and Management - [IITM], Sonepat","Sonepat, Haryana",AICTE Approved,A,N/A,B.Tech Computer Science and Engineering,"₹ 16,30,000","₹ 36,50,000",N/A,3 / 5,Based on 21 User Reviews,Best in Academics,N/A,2026-06-07 14:17:28
#1588,"Chattisgarh Institute of Technology - [CIT], Rajnandgaon","Rajnandgaon, Chhattisgarh",AICTE Approved,N/A,N/A,BE Computer Science And Engineering,"₹ 2,77,600",N/A,N/A,2.7 / 5,Based on 3 User Reviews,N/A,N/A,2026-06-07 14:17:30
#1589,"Millia Institute of Technology - [MIT], Purnea","Purnea, Bihar",AICTE Approved,N/A,N/A,B.Tech Computer Science and Engineering,"₹ 2,80,000",N/A,N/A,3.7 / 5,Based on 9 User Reviews,Best in Academics,N/A,2026-06-07 14:17:32
#1590,"Pratap University - [PU], Jaipur","Jaipur, Rajasthan","PCI, UGC, AIU Approved",N/A,N/A,B.Tech Computer Science and Engineering,"₹ 5,61,500","₹ 10,00,000","₹ 68,00,000",3.8 / 5,Based on 15 User Reviews,Best in Academics,N/A,2026-06-07 14:17:35
