CD Rank,College Name,Location,Approvals,NAAC Grade,CD Score,Course,Course Fees,Avg Package,Highest Package,User Rating,Reviews,Best In,National Ranking,Scraped At
#851,"Tatyasaheb Kore Institute of Engineering and Technology - [TKIET], Kolhapur","Kolhapur, Maharashtra","AICTE, NBA Approved",A,N/A,B.Tech {Hons.} Computer Science Engineering,"₹ 4,23,040","₹ 4,20,000","₹ 8,50,000",3.9 / 5,Based on 52 User Reviews,Best in Faculty,#203th/246 in India for Engineering 2023,2026-06-07 13:11:57
#852,"Warangal Institute of Technology and Science - [WITS], Warangal","Warangal, Telangana",AICTE Approved,N/A,N/A,B.Tech Computer Science and Engineering,"₹ 1,86,000",N/A,N/A,3.8 / 5,Based on 12 User Reviews,Best in Academics,N/A,2026-06-07 13:12:02
#853,"Meerut Institute of Engineering and Technology - [MIET], Meerut","Meerut, Uttar Pradesh","AICTE, PCI, UGC, NBA Approved",A,N/A,B.Tech Computer Science and Engineering,"₹ 5,05,052","₹ 33,00,000",N/A,3.9 / 5,Based on 590 User Reviews,Best in Faculty,#248th/269 in India for Engineering 2025,2026-06-07 13:12:07
#854,"VSM College of Engineering, East Godavari","East Godavari, Andhra Pradesh",AICTE Approved,A,N/A,B.Tech Computer Science and Engineering,"₹ 2,63,200",N/A,N/A,3.7 / 5,Based on 27 User Reviews,Best in Faculty,N/A,2026-06-07 13:12:11
#855,"Sandip Institute of Technology and Research Center - [SITRC], Nashik","Nashik, Maharashtra",AICTE Approved,A,N/A,BE Computer Engineering,"₹ 4,80,000","₹ 5,00,000","₹ 12,00,000",4.1 / 5,Based on 147 User Reviews,Best in Infrastructure,N/A,2026-06-07 13:12:16
#856,"Gyan Sagar College of Engineering - [GSCE], Sagar","Sagar, Madhya Pradesh",AICTE Approved,N/A,N/A,BE Computer Science And Engineering,"₹ 1,60,000",N/A,N/A,3.7 / 5,Based on 25 User Reviews,Best in Infrastructure,N/A,2026-06-07 13:12:20
#857,"Sridevi Women's Engineering College - [SWEC], Hyderabad","Hyderabad, Telangana","AICTE, NBA Approved",A++,N/A,B.Tech Computer Science and Engineering,"₹ 4,40,000","₹ 6,00,000","₹ 12,50,000",3.9 / 5,Based on 62 User Reviews,Best in Placements,N/A,2026-06-07 13:12:26
#858,"Ipcowala Institute of Engineering and Technology - [IIET], Anand","Anand, Gujarat",AICTE Approved,N/A,N/A,BE Computer Engineering,"₹ 53,550","₹ 4,00,000",N/A,3.7 / 5,Based on 10 User Reviews,Best in Faculty,N/A,2026-06-07 13:12:31
#859,"A. C. Patil College of Engineering - [ACPCE], Navi Mumbai","Navi Mumbai, Maharashtra",AICTE Approved,B+,N/A,BE Computer Engineering,"₹ 4,84,000","₹ 4,50,000","₹ 12,00,000",3.3 / 5,Based on 53 User Reviews,Best in Social Life,#57th/170 in India for Engineering 2023,2026-06-07 13:13:19
#860,"Audisankara College of Engineering and Technology Gudur - [ASCET], Nellore","Nellore, Andhra Pradesh","AICTE, NBA Approved",A+,N/A,B.Tech Electronics & Communication Engineering,"₹ 2,44,400","₹ 3,00,000",N/A,4 / 5,Based on 98 User Reviews,Best in Infrastructure,#148th/170 in India for Engineering 2023,2026-06-07 13:13:25
