CD Rank,College Name,Location,Approvals,NAAC Grade,CD Score,Course,Course Fees,Avg Package,Highest Package,User Rating,Reviews,Best In,National Ranking,Scraped At
#181,"Rajiv Gandhi College of Engineering and Technology, Pondicherry","Pondicherry, Puducherry",AICTE Approved,A+,558/2000,B.Tech Computer Science and Engineering,"₹ 1,28,000","₹ 4,22,000","₹ 5,20,000",3.4 / 5,Based on 27 User Reviews,Best in Academics,#393th/500 in India for Engineering 2025,2026-06-07 22:26:51
#182,"Sinhgad College of Engineering - [SCOE] Vadgaon Ambegaon, Pune","Pune, Maharashtra","AICTE, NBA Approved",A+,609/1000,BE Computer Engineering,"₹ 4,76,264","₹ 5,60,000","₹ 12,50,000",3.9 / 5,Based on 1124 User Reviews,Best in Social Life,#326th/500 in India for Engineering 2026,2026-06-07 22:26:55
#183,"KS Institute of Technology - [KSIT], Bangalore","Bangalore, Karnataka","AICTE, NBA Approved",A+,531/1000,BE Computer Science And Engineering,"₹ 8,80,000",N/A,N/A,3.5 / 5,Based on 66 User Reviews,N/A,#448th/500 in India for Engineering 2026,2026-06-07 22:26:58
#184,"Xavier Institute of Engineering - [XIE], Mumbai","Mumbai, Maharashtra",AICTE Approved,B+,654/1000,BE Information Technology,"₹ 6,88,000","₹ 3,00,000","₹ 4,08,000",3.7 / 5,Based on 32 User Reviews,Best in Faculty,#245th/500 in India for Engineering 2026,2026-06-07 22:27:02
#185,"Vignan's Foundation for Science, Technology, and Research, Guntur","Guntur, Andhra Pradesh","AICTE, PCI, BCI, UGC, NBA Approved",A+,N/A,B.Tech Computer Science,"₹ 11,40,000","₹ 44,00,000",N/A,4.1 / 5,Based on 2127 User Reviews,Best in Infrastructure,#399th/500 in India for Engineering 2025,2026-06-07 22:27:06
#186,"Vidya Vikas Institute of Engineering and Technology - [VVIET], Mysore","Mysore, Karnataka","AICTE, NBA Approved",B+,553/2000,BE Computer Science And Engineering,"₹ 4,09,640","₹ 7,50,000",N/A,3.9 / 5,Based on 58 User Reviews,Best in Infrastructure,#401th/500 in India for Engineering 2025,2026-06-07 22:27:09
#187,"Institute of Chemical Technology - [ICT] Marathwada, Jalna","Jalna, Maharashtra","UGC, NBA, MHRD Approved",A++,552/2000,B.Tech + M.Tech Chemical Engineering,"₹ 5,29,165",N/A,N/A,N/A,N/A,N/A,#403th/500 in India for Engineering 2025,2026-06-07 22:27:12
#188,"Sai Vidya Institute of Technology - [SVIT], Bangalore","Bangalore, Karnataka","AICTE, NBA Approved",A,551/2000,BE Computer Science And Engineering,"₹ 12,00,000","₹ 5,43,000","₹ 20,00,000",4.3 / 5,Based on 220 User Reviews,Best in Academics,#405th/500 in India for Engineering 2025,2026-06-07 22:27:16
#189,"Marathwada Mitra Mandal's College of Engineering, Pune","Pune, Maharashtra","AICTE, UGC, NBA Approved",A++,699/1000,B.Tech Computer Engineering,"₹ 4,51,000","₹ 5,00,000","₹ 9,60,000",3.7 / 5,Based on 154 User Reviews,Best in Faculty,#189th/500 in India for Engineering 2026,2026-06-07 22:27:19
#190,"Sam Higginbottom University of Agriculture Technology and Sciences - [SHUATS], Allahabad","Allahabad, Uttar Pradesh","NCTE, INC, ICAR, UGC Approved",A,N/A,B.Tech Computer Science and Engineering,"₹ 4,45,235","₹ 6,20,000","₹ 10,00,000",4 / 5,Based on 211 User Reviews,Best in Social Life,N/A,2026-06-07 22:27:23
#191,"Maharaja Institute of Technology - [MIT], Mysore","Mysore, Karnataka","AICTE, NBA Approved",B++,550/2000,BE Computer Science And Engineering,"₹ 8,80,000","₹ 5,17,958","₹ 15,00,000",3.8 / 5,Based on 98 User Reviews,Best in Faculty,#407th/500 in India for Engineering 2025,2026-06-07 22:27:27
#192,"KIT's College of Engineering, Kolhapur","Kolhapur, Maharashtra","AICTE, UGC, NBA Approved",A+,633/1000,B.Tech Artificial Intelligence & Machine Learning,"₹ 4,95,000","₹ 6,50,000","₹ 41,00,000",4.2 / 5,Based on 157 User Reviews,Best in Infrastructure,#275th/500 in India for Engineering 2026,2026-06-07 22:27:31
