CD Rank,College Name,Location,Approvals,NAAC Grade,CD Score,Course,Course Fees,Avg Package,Highest Package,User Rating,Reviews,Best In,National Ranking,Scraped At
#141,"JSPM'S Rajarshi Shahu College of Engineering - [RSCOE] Tathawade, Pune","Pune, Maharashtra","AICTE, NBA Approved",A,704/1000,B.Tech Computer Engineering,"₹ 4,80,956","₹ 30,00,000",N/A,3.9 / 5,Based on 702 User Reviews,Best in Academics,#183th/500 in India for Engineering 2026,2026-06-07 22:22:16
#142,"Dayananda Sagar Academy of Technology and Management - [DSATM], Bangalore","Bangalore, Karnataka","AICTE, NBA Approved",A+,606/1000,BE Computer Science And Engineering,"₹ 18,80,000","₹ 5,36,000","₹ 22,50,000",4 / 5,Based on 180 User Reviews,Best in Infrastructure,#332th/500 in India for Engineering 2026,2026-06-07 22:22:20
#143,"PES College of Engineering - [PESCE], Mandya","Mandya, Karnataka","AICTE, NBA Approved",A,582/1000,BE Computer Science And Engineering,"₹ 3,74,856","₹ 5,30,000","₹ 14,50,000",3.9 / 5,Based on 606 User Reviews,Best in Infrastructure,#371th/500 in India for Engineering 2026,2026-06-07 22:22:23
#144,"Bharati Vidyapeeth's College of Engineering - [BVCOE] Lavale, Pune","Pune, Maharashtra",AICTE Approved,B++,543/1000,BE Computer Engineering,"₹ 4,68,000","₹ 19,00,000",N/A,3.6 / 5,Based on 36 User Reviews,Best in Academics,#429th/500 in India for Engineering 2026,2026-06-07 22:22:27
#145,"St Joseph Engineering College - [SJEC], Mangalore","Mangalore, Karnataka","AICTE, NBA Approved",A+,589/2000,BE Computer Science And Engineering,"₹ 9,76,440","₹ 27,50,000",N/A,4 / 5,Based on 78 User Reviews,Best in Faculty,#346th/500 in India for Engineering 2025,2026-06-07 22:22:31
#146,"Global Academy of Technology - [GAT], Bangalore","Bangalore, Karnataka","AICTE, NBA Approved",A,588/2000,BE Computer Science And Engineering,"₹ 8,80,000","₹ 5,17,000","₹ 22,00,000",3.9 / 5,Based on 103 User Reviews,Best in Infrastructure,#347th/500 in India for Engineering 2025,2026-06-07 22:22:34
#147,"Sanskriti University - [SU], Mathura","Mathura, Uttar Pradesh","NCTE, RCI, PCI, BCI, ICAR Approved",N/A,587/2000,B.Tech Computer Science and Engineering,"₹ 6,09,700","₹ 6,20,000","₹ 1,40,00,000",3.8 / 5,Based on 199 User Reviews,Best in Infrastructure,#348th/500 in India for Engineering 2025,2026-06-07 22:22:38
#148,"MIT Academy of Engineering - [MITAOE], Pune","Pune, Maharashtra","AICTE, UGC, NBA Approved",A,675/1000,B.Tech Computer Engineering,"₹ 7,66,948","₹ 6,10,000","₹ 28,00,000",3.8 / 5,Based on 140 User Reviews,Best in Academics,#221th/500 in India for Engineering 2026,2026-06-07 22:22:41
#149,"MVJ College of Engineering - [MVJCE], Bangalore","Bangalore, Karnataka","AICTE, UGC, NBA Approved",B++,586/2000,BE Computer Science And Engineering,"₹ 3,27,200","₹ 27,70,000",N/A,3.8 / 5,Based on 256 User Reviews,Best in Infrastructure,#350th/500 in India for Engineering 2025,2026-06-07 22:22:45
#150,"Dr. D. Y. Patil Institute of Engineering, Management & Research - [DYPIEMR] Akurdi, Pune","Pune, Maharashtra",AICTE Approved,B++,585/2000,BE Computer Engineering,"₹ 3,95,168","₹ 45,00,000",N/A,3.8 / 5,Based on 84 User Reviews,Best in Social Life,#351th/500 in India for Engineering 2025,2026-06-07 22:22:48
